phase,flt,mag,magerr
143.66051300009713,o,15.895,0.013
143.66599299991503,o,15.914,0.012
143.67582000000402,o,15.897,0.013
144.91287299990654,o,15.903,0.014
144.91468100016937,o,15.916,0.013
144.93650900013745,o,15.916,0.014
144.9419329999946,o,15.888,0.015
148.91689200000837,o,15.828,0.014
148.91870599985123,o,15.819,0.012
148.9218689999543,o,15.833,0.013
148.94254599977285,o,15.815,0.014
151.65188500005752,o,15.867,0.011
151.65458599990234,o,15.855,0.012
151.6600239998661,o,15.868,0.015
151.68223199993372,o,15.884,0.015
155.73028100002557,o,15.984,0.014
155.73336399998516,o,15.947,0.015
155.76830400014296,o,15.816,0.014
155.79658100008965,o,16.01,0.015
156.37337600020692,o,16.037,0.095
156.37565599987283,o,15.966,0.077
156.3940260000527,o,16.02,0.036
156.3990239999257,o,16.05,0.036
157.36892199981958,o,16.023,0.02
157.37073200009763,o,16.096,0.021
157.3747990000993,o,16.016,0.017
157.38023999985307,o,16.032,0.018
158.60987199982628,o,15.939,0.021
158.612575000152,o,15.969,0.021
158.63307699980214,o,15.935,0.018
158.65122100012377,o,15.966,0.021
158.93635499989614,o,15.917,0.015
158.93958699982613,o,15.941,0.016
158.96715799998492,o,15.957,0.018
158.97533700009808,o,15.968,0.021
164.91323099983856,o,16.105,0.024
164.91639900021255,o,16.018,0.018
164.92228600010276,o,16.09,0.018
164.92591399978846,o,16.092,0.022
164.92908000014722,o,16.077,0.019
164.93224499979988,o,16.038,0.02
164.9349560001865,o,16.032,0.065
166.92498299991712,o,16.125,0.022
166.92821699986234,o,16.129,0.022
166.93376199994236,o,16.167,0.021
166.94415199989453,o,16.178,0.063
168.90190300019458,o,16.197,0.018
168.905065999832,o,16.197,0.017
168.91095199994743,o,16.2,0.018
168.92507999995723,o,16.189,0.017
170.88904700009152,o,16.122,0.013
170.8918579998426,o,16.075,0.015
170.8969769999385,o,16.128,0.013
170.93138199998066,o,16.108,0.016
173.38674400001764,o,16.096,0.018
173.38992400001734,o,16.086,0.017
173.39579300023615,o,16.112,0.016
173.43081799987704,o,16.16,0.044
174.94451199984178,o,16.139,0.014
174.95006000017747,o,16.155,0.015
174.95283799991012,o,16.162,0.015
174.96347700012848,o,16.143,0.015
177.3811730002053,o,16.172,0.017
177.38479000004008,o,16.225,0.015
177.39025400020182,o,16.188,0.016
177.4252189998515,o,16.27,0.033
178.86587199987844,o,16.29,0.019
178.8691079998389,o,16.289,0.019
178.8746529999189,o,16.301,0.018
178.88726500002667,o,16.264,0.019
181.24739800021052,o,16.322,0.024
181.2496500001289,o,16.333,0.023
181.25010100007057,o,16.345,0.019
181.2505509997718,o,16.347,0.019
181.25100200017914,o,16.228,0.02
181.25190299982205,o,16.327,0.021
181.2537079998292,o,16.308,0.019
181.2568709999323,o,16.36,0.018
181.26227700011805,o,16.308,0.024
182.86409999988973,o,16.323,0.019
182.86733300006017,o,16.299,0.018
182.87333799991757,o,16.279,0.018
182.88397599989548,o,16.305,0.016
183.6218570000492,o,16.189,0.021
183.62501299986616,o,15.962,0.02
183.63042300008237,o,16.106,0.02
183.64079899992794,o,15.922,0.019
184.8776179999113,o,16.256,0.018
184.8807839998044,o,16.25,0.02
184.88620699988678,o,16.23,0.02
184.89682399993762,o,16.243,0.018
184.91639900021255,o,16.278,0.018
185.35714600002393,o,16.26,0.023
186.84815400000662,o,16.276,0.022
186.850924000144,o,16.354,0.025
186.87117900000885,o,16.284,0.023
186.88465399993584,o,16.325,0.03
191.66930600022897,o,16.312,0.072
192.92751300008968,o,16.518,0.033
192.9306819997728,o,16.536,0.035
192.95122800022364,o,16.453,0.032
192.95756200002506,o,16.481,0.039
193.44097399991006,o,16.598,0.044
193.4589979997836,o,16.452,0.039
193.46369299991056,o,16.534,0.036
193.4733980000019,o,16.508,0.04
194.81459699990228,o,16.524,0.021
194.8178280000575,o,16.51,0.026
194.82431499985978,o,16.525,0.025
194.83540900005028,o,16.513,0.026
196.90708500007167,o,16.41,0.024
196.93400300014764,o,16.115,0.017
196.93582799984142,o,16.451,0.029
196.9389969999902,o,16.432,0.025
199.6017419998534,o,16.511,0.019
199.60453000012785,o,16.551,0.019
199.6108719999902,o,16.526,0.021
199.6257540001534,o,16.501,0.016
200.89261100022122,o,16.569,0.024
200.96074499981478,o,16.558,0.026
200.98658799985424,o,16.551,0.035
203.58764499984682,o,16.643,0.02
203.5907990001142,o,16.609,0.023
203.59804200008512,o,16.58,0.02
203.60796299995854,o,16.612,0.023
207.5711659998633,o,16.618,0.024
207.5747899999842,o,16.724,0.03
207.5820109997876,o,16.764,0.045
207.5919320001267,o,16.992,0.401
208.80247600004077,o,16.563,0.023
208.80564100015908,o,16.547,0.025
208.8119749999605,o,16.502,0.02
208.8217730000615,o,16.574,0.022
209.63817099994048,o,16.614,0.025
209.6735809999518,o,16.602,0.024
209.6740310001187,o,16.589,0.023
209.67448099981993,o,16.628,0.023
209.67493099998683,o,16.615,0.023
211.56540000019595,o,16.664,0.028
211.56855199998245,o,16.65,0.028
211.57576599996537,o,16.596,0.033
211.58573300018907,o,16.714,0.026
213.29246299993247,o,16.697,0.031
213.29653199994937,o,16.673,0.032
213.3019440001808,o,16.671,0.032
213.31196200009435,o,16.684,0.026
219.59597600018606,o,16.794,0.044
219.59958400018513,o,16.848,0.048
219.60552599979565,o,16.843,0.054
219.61814700020477,o,16.844,0.046
221.31340799992904,o,16.724,0.044
221.3170139999129,o,16.663,0.044
221.32424899982288,o,16.681,0.045
221.34095600014552,o,16.668,0.04
223.56756199989468,o,16.81,0.109
223.57116999989375,o,16.751,0.035
223.57703199982643,o,16.77,0.029
223.5906309997663,o,16.725,0.133
245.2853649999015,o,17.049,0.137
245.28814999992028,o,17.2,0.117
245.29735899996012,o,16.975,0.055
247.53605199977756,o,16.976,0.146
247.56277799978852,o,16.941,0.061
249.33603700017557,o,16.96,0.056
249.34017900004983,o,16.998,0.059
249.34607699979097,o,17.058,0.082
249.36890200013295,o,16.985,0.076
260.70942999981344,o,17.035,0.041
260.7125929999165,o,16.956,0.037
260.73709800001234,o,17.011,0.03
264.70936000021175,o,16.971,0.051
57.95302079990506,g,15.244199805176661,0.024265000596642494
57.95396990003064,g,15.22028160773806,0.02917085774242878
57.95396990003064,g,15.220300119640932,0.029170999303460114
57.95302079990506,g,15.244199752807617,0.024265000596642498
57.95396990003064,g,15.220281600952148,0.02917085774242878
63.95913190022111,g,15.260075569152832,0.02602928690612316
63.95913190022111,g,15.26007605403866,0.026029286906123158
65.92508100019768,g,15.319755554199219,0.022871019318699837
63.95913190022111,g,15.26010054487514,0.026029000058770173
65.92508100019768,g,15.319755778723403,0.022871019318699837
65.92508100019768,g,15.319800471821914,0.022871000692248344
66.93738429993391,g,15.303475441199497,0.03501719236373901
66.93738429993391,g,15.303475379943848,0.035017192363739014
66.93738429993391,g,15.303500448068204,0.03501699864864348
69.92150459997356,g,15.314892104920366,0.02705592289566993
69.92150459997356,g,15.314891815185547,0.027055922895669934
69.92150459997356,g,15.314900398495785,0.027055999264121052
70.90851850016043,g,15.267133297160518,0.02718928456306457
70.90851850016043,g,15.267132759094238,0.027189284563064575
70.90851850016043,g,15.267100430636065,0.02718899957835674
71.95887729991227,g,15.303903920326226,0.033384956419467926
71.95887729991227,g,15.303903579711914,0.033384956419467926
71.95887729991227,g,15.30389976702371,0.0333850011229515
80.9216666999273,g,15.48970062578733,0.046188000589609146
80.92309030005708,g,15.523100078201143,0.023238999769091603
80.95723380008712,g,15.488400629257299,0.04371900111436844
80.96056709997356,g,15.531331434684857,0.03873179480433465
80.9216666999273,g,15.489687445046323,0.04618763178586959
80.92309030005708,g,15.523116153036248,0.02323850803077221
80.95723380008712,g,15.48840177404473,0.04371867701411247
80.96056709997356,g,15.531299874720228,0.038731999695301056
83.92190970014781,g,15.470500181588202,0.028994999825954434
83.92285879980773,g,15.467500206973675,0.03316599875688552
83.92285879980773,g,15.467476400473473,0.033165909349918365
83.92190970014781,g,15.470519212296628,0.028994662687182426
86.9602315002121,g,15.549599709403847,0.0298909991979599
90.87377309985459,g,15.619090378092384,0.034739699214696884
90.87377309985459,g,15.619099933168567,0.03474000096321106
93.94481479981914,g,15.704087782910102,0.03371696919202804
93.94481479981914,g,15.704099652091978,0.033716998994350426
95.9197685001418,g,15.651211869682136,0.04091645032167435
95.9197685001418,g,15.651200564806617,0.040915999561548226
98.91910880012438,g,15.576001594824932,0.040600065141916275
98.91910880012438,g,15.576000353844991,0.040600001811981194
101.89910880010575,g,15.654900811562694,0.03490310907363891
101.89910880010575,g,15.654899610496438,0.03490300104022026
101.91851849993691,g,15.676750684893948,0.0491059385240078
101.91851849993691,g,15.676800181903436,0.049106001853942864
103.95635419990867,g,15.69300011788897,0.03218400105834007
107.94071759982035,g,15.708299984383162,0.049327000975608826
110.87702549993992,g,15.631815915958375,0.0342298299074173
110.87702549993992,g,15.63179984681832,0.03423000127077103
110.91347219981253,g,15.641998778856276,0.0430331826210022
110.91347219981253,g,15.64200055917602,0.04303300008177757
113.83611109992489,g,15.775279520134777,0.027382988482713696
113.83611109992489,g,15.775300394265102,0.02738299965858459
115.91984950006008,g,15.826572926432652,0.039487574249506
115.91984950006008,g,15.826600359612458,0.039487998932600014
117.90633099991828,g,15.886379627943501,0.03926729038357734
117.90633099991828,g,15.886400521430508,0.03926699981093407
117.90728010004386,g,15.89011686674218,0.034470681101083755
117.90728010004386,g,15.890099547696991,0.03447100147604942
119.87924769986421,g,15.899850241288467,0.036606207489967346
119.87924769986421,g,15.899800827054085,0.03660599887371063
119.8982060002163,g,15.899891379726988,0.030540853738784787
119.8982060002163,g,15.899900912026638,0.030541000887751576
122.87850689981133,g,15.868187107551748,0.030000785365700715
122.87850689981133,g,15.86820083211929,0.03000099956989288
122.89913190016523,g,15.865239617745075,0.03682481124997139
122.89913190016523,g,15.86520033841192,0.03682500123977661
126.85648149996996,g,15.981741105044739,0.031082406640052795
126.85648149996996,g,15.981699991261841,0.031082000583410256
126.87457180023193,g,15.951563889948774,0.04134100675582885
126.87457180023193,g,15.951600195040172,0.04134099930524825
129.8976619997993,g,16.053552743948114,0.029840087518095967
129.8976619997993,g,16.053600427676948,0.02983999997377396
139.81575229996815,g,16.084579989160336,0.040110532194375985
139.81575229996815,g,16.084600804803287,0.04011100158095359
139.85151620022953,g,16.10615210337139,0.0316648930311203
139.85151620022953,g,16.10619972734727,0.031665001064538956
139.85790510009974,g,16.064483667224813,0.044600341469049454
139.85790510009974,g,16.064500987361278,0.04459999874234199
139.8762269001454,g,16.101400425392317,0.030592000111937523
139.8762269001454,g,16.10144451918702,0.03059245645999908
140.8560994998552,g,16.095810111040553,0.040968246757984154
140.8560994998552,g,16.095800496517814,0.040968000888824456
140.87501160008833,g,16.128587853553217,0.027371415868401524
140.87501160008833,g,16.128599207960644,0.027371000498533245
141.84282410005108,g,16.144819367627882,0.02734675258398056
141.84282410005108,g,16.144800298549775,0.027347000315785408
141.84376160008833,g,16.12671332149792,0.0265184361487627
141.84376160008833,g,16.12669961682721,0.026518000289797783
141.85915509983897,g,16.11086322885834,0.04023060202598571
141.85915509983897,g,16.11090141230691,0.040231000632047646
141.8883102000691,g,16.13332581722235,0.030169554054737095
141.8883102000691,g,16.133300832372214,0.030169999226927754
143.81619209982455,g,16.152191341458717,0.04842698946595191
143.81619209982455,g,16.152200835591934,0.04842700064182281
143.8361689997837,g,16.164589090357293,0.02668238431215286
143.8361689997837,g,16.164600400761863,0.026682000607252118
146.871249999851,g,16.105799184825727,0.02907854132354259
146.871249999851,g,16.105801004220403,0.029078999534249302
148.85777779994532,g,16.052988308470788,0.024529600515961644
149.7838657000102,g,16.084242038609123,0.033531758934259415
148.85777779994532,g,16.05299966940328,0.024529999122023582
149.7838657000102,g,16.084200322389584,0.033532001078128815
150.87810190021992,g,16.110558012645363,0.032134588807821274
150.87810190021992,g,16.110599738740937,0.032134998589754105
151.77300930023193,g,16.11801758538227,0.03455555066466331
151.77300930023193,g,16.118000310119577,0.03455600142478943
152.85067130019888,g,16.160957401022465,0.03355129435658455
152.85067130019888,g,16.160999727182926,0.03355100005865097
155.82567129982635,g,16.221910878354123,0.029590897262096398
155.82567129982635,g,16.22190131708063,0.029590999707579606
156.782858800143,g,16.23274996697957,0.03565024957060814
156.782858800143,g,16.23270054572842,0.03564999997615814
157.80383099988103,g,16.173694863832015,0.029126506298780438
157.80383099988103,g,16.17370078184883,0.029126999899744984
158.88989580003545,g,16.123129318305118,0.05649995431303977
158.88989580003545,g,16.123100664350012,0.056499999016523354
159.89865740016103,g,16.11294944283118,0.03287460654973983
159.89865740016103,g,16.112899894023887,0.03287500143051147
163.82855319976807,g,16.181331994658464,0.032509196549654
163.82855319976807,g,16.18129927056892,0.03250899910926819
164.88282410008833,g,16.24094024508051,0.03875629231333732
166.76659720018506,g,16.270386150580077,0.028635146096348763
167.80724539980292,g,16.369253594074408,0.024867329746484753
164.88282410008833,g,16.2409002940569,0.03875600174069404
166.76659720018506,g,16.2703992067089,0.02863500081002712
171.73079859977588,g,16.240354863529717,0.02764945290982723
171.73079859977588,g,16.240400858630395,0.02764900028705597
172.8085416997783,g,16.221493073018355,0.02091281674802303
173.75967589998618,g,16.258743519371663,0.03941953554749489
172.8085416997783,g,16.22150083159845,0.020912999287247654
173.75967589998618,g,16.258699416976775,0.039420001208782196
174.70976850017905,g,16.270872509154643,0.030235590413212776
174.70976850017905,g,16.27090110450175,0.030236000195145607
176.78958329977468,g,16.351888951440785,0.035383738577365875
176.78958329977468,g,16.351900235938174,0.03538399934768677
178.71021990012378,g,16.386333822047547,0.03857264667749405
178.71021990012378,g,16.386299270705436,0.0385730005800724
179.83089119987562,g,16.456402101700288,0.034627318382263184
180.73298610001802,g,16.43455341692652,0.040852595120668404
179.83089119987562,g,16.45640028686086,0.03462700173258781
180.73298610001802,g,16.43460110041958,0.04085300117731094
167.80724539980292,g,16.369301264285166,0.02486700005829334
181.8516782000661,g,16.468855278722206,0.03199277445673942
181.8516782000661,g,16.468901174108314,0.03199300169944763
182.72846060013399,g,16.41399994124308,0.03939799964427947
182.72846060013399,g,16.414003499038227,0.03939822688698769
183.7504397998564,g,16.393627644480155,0.026601158082485196
183.7504397998564,g,16.393600831537146,0.026600999757647514
185.7539236000739,g,16.38675703431654,0.0389542244374752
185.7539236000739,g,16.38680115842218,0.03895400092005729
194.71719910018146,g,16.581756619119872,0.04404193535447121
194.71719910018146,g,16.58180072781852,0.04404199868440628
