jd G eG binepoch_G R eR binepoch_R c ec binepoch_c g eg binepoch_g i ei binepoch_i o eo binepoch_o r er binepoch_r
55.105374125007074 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.475 0.006 1 nan nan 0
55.105374125007074 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.464 0.006 1 nan nan 0
55.105374125007074 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.455 0.006 1 nan nan 0
55.105374125007074 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.427 0.006 1 nan nan 0
55.105374125007074 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.481 0.009 1 nan nan 0
55.105374125007074 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.467 0.011 1 nan nan 0
57.95359025998041 nan nan 0 nan nan 0 nan nan 0 15.244199805176661 0.024265000596642494 1 nan nan 0 nan nan 0 nan nan 0
57.95359025998041 nan nan 0 nan nan 0 nan nan 0 15.244199752807617 0.024265000596642498 1 nan nan 0 nan nan 0 nan nan 0
57.95359025998041 nan nan 0 nan nan 0 nan nan 0 15.220300119640932 0.029170999303460114 1 nan nan 0 nan nan 0 nan nan 0
57.95359025998041 nan nan 0 nan nan 0 nan nan 0 15.22028160773806 0.02917085774242878 1 nan nan 0 nan nan 0 nan nan 0
57.95359025998041 nan nan 0 nan nan 0 nan nan 0 15.220281600952148 0.02917085774242878 1 nan nan 0 nan nan 0 nan nan 0
58.94022647512611 nan nan 0 nan nan 0 nan nan 0 15.21724931663079 0.035 1 nan nan 0 nan nan 0 14.6809720993042 0.03721300885081291 1
58.94022647512611 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.680972198955894 0.03721300885081291 1
58.94022647512611 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.68100027969725 0.03721300140023231 1
60.952120000030845 14.67 0.05 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.595876693725586 0.029290633276104924 1
60.952120000030845 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.595899773888668 0.02929100021719932 1
60.952120000030845 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.595877030343184 0.029290633276104924 1
61.54203000012785 nan nan 0 nan nan 0 nan nan 0 15.384175423082743 0.038 1 nan nan 0 nan nan 0 nan nan 0
63.947755528547404 nan nan 0 nan nan 0 nan nan 0 15.147490958823743 0.055 1 nan nan 0 nan nan 0 14.657851219177246 0.03114625439047813 1
63.947755528547404 nan nan 0 nan nan 0 nan nan 0 15.26010054487514 0.026029000058770173 1 nan nan 0 nan nan 0 14.657851596441265 0.031146254390478127 1
63.947755528547404 nan nan 0 nan nan 0 nan nan 0 15.26007605403866 0.026029286906123158 1 nan nan 0 nan nan 0 14.65789986261385 0.031145999208092683 1
63.947755528547404 nan nan 0 nan nan 0 nan nan 0 15.260075569152832 0.02602928690612316 1 nan nan 0 nan nan 0 nan nan 0
65.93925925018266 nan nan 0 nan nan 0 nan nan 0 15.319800471821914 0.022871000692248344 1 nan nan 0 nan nan 0 14.73270371995182 0.025814196094870567 1
