SN2004gk	0.0 0.0 0.0
filter I
  53341.0800 13.44 0.04
  53389.1400 14.39 0.02
  53405.9100 14.77 0.03
  53431.9700 15.25 0.03
  53446.0000 15.37 0.03
  53455.0000 15.55 0.04
  53462.8900 15.64 0.06
  53467.9300 15.70 0.05
  53505.8900 16.70 0.07
#Data sources:
#2011ApJ...731..129E Elmhamdi et al. (2011)
#Sternberg Astronomical Institute Supernova Light Curve Catalogue ---
