# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459797.598103 15.461 0.009 2375 21 c 0 5.12 8.69039 -8.38667 6016.24 1307.28 2.3 2.18 -30.3 -0.424 19.89 21.85 03a59797o0674c
2459797.603745 15.47 0.009 2356 22 c 0 4.18 8.69039 -8.38667 5957.37 1229.41 2.33 2.2 -27.5 -0.421 19.78 21.71 03a59797o0686c
2459797.61382 15.444 0.01 2412 23 c 0 6.17 8.69039 -8.38667 5930.72 1347.63 2.35 2.22 -21.9 -0.419 19.56 21.5 03a59797o0707c
2459797.6846559998 15.483 0.011 2326 26 c 0 3.15 8.69039 -8.38667 5954.04 1296.96 2.45 2.31 -17.8 -0.401 18.93 19.7 03a59797o0855c
2459819.663791 15.787 0.012 1759 21 c 0 2.81 8.69039 -8.38667 396.89 3692.56 2.5 1.91 41.6 -0.376 19.66 21.46 04a59819o0446c
2459819.684067 15.844 0.011 1668 19 c 0 6.3 8.69039 -8.38667 374.08 3652.13 2.47 1.9 47.4 -0.378 19.73 21.58 04a59819o0490c
2459819.710269 15.816 0.011 1712 19 c 0 4.07 8.69039 -8.38667 438.63 3727.8 2.45 1.89 48.1 -0.381 19.73 21.65 04a59819o0547c
2459819.719774 15.829 0.011 1693 19 c 0 6.63 8.69039 -8.38667 460.26 3608.96 2.45 1.88 48.8 -0.386 19.74 21.67 04a59819o0567c
2459821.005894 15.76 0.011 1804 20 c 0 3.01 8.69039 -8.38667 6419.41 9019.04 2.62 2.38 34.3 -0.406 19.58 21.36 02a59820o0616c
2459821.009067 15.794 0.012 1748 21 c 0 2.52 8.69039 -8.38667 6438.32 9059.67 2.65 2.42 35.3 -0.4 19.57 21.35 02a59820o0623c
2459821.019161 15.8 0.011 1738 18 c 0 2.99 8.69039 -8.38667 4191.69 1577.55 2.47 2.31 65.3 -0.412 19.53 21.34 02a59820o0644c
2459821.044605 15.764 0.011 1797 19 c 0 2.7 8.69039 -8.38667 4212.05 1462.37 2.45 2.28 60.3 -0.421 19.53 21.33 02a59820o0696c
