# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459839.769954 15.865 0.14 1637 228 o 0 1.05 8.69039 -8.38667 7998.83 1213.15 2.72 2.11 -24.5 -0.386 16.5 17.3 04a59839o0643o
2459839.773113 15.836 0.116 1681 194 o 0 1.37 8.69039 -8.38667 7940.7 1132.51 2.66 2.17 -24.9 -0.385 16.28 17.1 04a59839o0650o
2459839.778524 15.527 0.151 2234 337 o 0 0.95 8.69039 -8.38667 7921.95 1245.31 2.77 2.21 -23.6 -0.379 15.89 16.58 04a59839o0662o
2459840.969684 15.832 0.013 1687 22 o 0 4.48 8.69039 -8.38667 2323.23 3575.99 2.31 1.98 30.0 -0.445 19.4 20.6 02a59840o0433o
2459840.972866 15.84 0.013 1676 21 o 0 2.14 8.69039 -8.38667 2304.1 3537.43 2.39 2.06 33.5 -0.444 19.39 20.6 02a59840o0440o
2459840.978289 15.834 0.014 1685 23 o 0 2.58 8.69039 -8.38667 2361.71 3615.58 2.37 2.02 33.2 -0.443 19.34 20.59 02a59840o0452o
2459840.988558 15.808 0.011 1725 20 o 0 7.48 8.69039 -8.38667 2383.72 3501.94 2.33 1.91 34.6 -0.449 19.44 20.58 02a59840o0474o
2459843.657752 15.873 0.013 1625 22 o 0 2.71 8.69039 -8.38667 4520.13 7378.31 2.41 2.03 -76.4 -0.417 19.37 20.94 04a59843o0285o
2459843.660513 15.895 0.013 1592 21 o 0 3.4 8.69039 -8.38667 4502.5 7339.23 2.22 1.87 -83.3 -0.403 19.53 20.97 04a59843o0291o
2459843.665993 15.914 0.012 1564 18 o 0 5.99 8.69039 -8.38667 4562.12 7416.37 2.26 1.85 -84.2 -0.41 19.48 20.99 04a59843o0303o
2459843.67582 15.897 0.013 1589 20 o 0 6.66 8.69039 -8.38667 4585.78 7297.82 2.3 1.98 -82.5 -0.407 19.48 21.01 04a59843o0324o
2459844.912873 15.903 0.014 1581 22 o 0 2.26 8.69039 -8.38667 6310.26 7067.56 2.43 1.93 32.0 -0.433 19.44 20.6 02a59844o0452o
2459844.914681 15.916 0.013 1562 20 o 0 5.57 8.69039 -8.38667 6329.81 7105.56 2.48 1.97 31.7 -0.434 19.44 20.61 02a59844o0456o
2459844.936509 15.916 0.014 1562 22 o 0 3.23 8.69039 -8.38667 6274.7 7030.2 2.51 1.96 31.0 -0.429 19.44 20.53 02a59844o0502o
2459844.941933 15.888 0.015 1603 24 o 0 1.74 8.69039 -8.38667 6256.0 7146.77 2.47 1.95 32.5 -0.434 19.46 20.51 02a59844o0514o
2459848.916892 15.828 0.014 1694 23 o 0 1.47 8.69039 -8.38667 6309.55 7067.34 2.35 1.99 31.7 -0.435 19.43 20.56 02a59848o0459o
2459848.918706 15.819 0.012 1708 21 o 0 2.12 8.69039 -8.38667 6329.21 7107.08 2.36 1.93 30.6 -0.434 19.49 20.55 02a59848o0463o
2459848.921869 15.833 0.013 1686 22 o 0 1.89 8.69039 -8.38667 6271.28 7029.77 2.52 2.2 28.7 -0.433 19.32 20.54 02a59848o0470o
2459848.942546 15.815 0.014 1714 24 o 0 1.46 8.69039 -8.38667 6254.08 7148.29 2.35 1.98 32.2 -0.438 19.44 20.5 02a59848o0513o
2459851.651885 15.867 0.011 1633 19 o 0 9.77 8.69039 -8.38667 4176.52 1568.54 2.02 1.88 45.3 -0.45 19.57 21.0 04a59851o0396o
2459851.654586 15.855 0.012 1653 21 o 0 7.33 8.69039 -8.38667 4159.14 1528.86 1.93 1.86 36.1 -0.421 19.57 20.98 04a59851o0402o
2459851.660024 15.868 0.015 1632 24 o 0 4.54 8.69039 -8.38667 4220.77 1606.08 1.87 1.8 16.0 -0.421 19.58 20.97 04a59851o0414o
2459851.682232 15.884 0.015 1609 24 o 0 5.48 8.69039 -8.38667 4253.91 1486.23 1.78 1.76 -8.3 -0.429 19.57 20.94 04a59851o0462o
2459855.730281 15.984 0.014 1466 21 o 0 5.19 8.69039 -8.38667 6459.73 9015.53 2.43 1.99 -66.8 -0.401 19.34 20.54 04a59855o0564o
2459855.733364 15.947 0.015 1518 23 o 0 3.74 8.69039 -8.38667 6479.24 9052.18 2.39 1.99 -66.7 -0.415 19.37 20.54 04a59855o0570o
2459855.768304 15.816 0.014 1712 25 o 0 7.29 8.69039 -8.38667 6430.07 8951.55 2.41 1.94 -69.2 -0.427 19.46 20.74 04a59855o0646o
2459855.796581 16.01 0.015 1432 22 o 0 3.73 8.69039 -8.38667 6411.2 9052.52 2.55 2.05 -74.8 -0.403 19.35 20.63 04a59855o0707o
2459856.373376 16.037 0.095 1397 132 o 0 1.34 8.69039 -8.38667 534.79 9328.58 2.58 2.26 -51.7 -0.438 16.18 16.64 03a59856o0306o
2459856.375656 15.966 0.077 1491 115 o 0 0.76 8.69039 -8.38667 516.33 9288.94 2.56 2.31 -49.8 -0.446 16.89 17.44 03a59856o0311o
2459856.394026 16.02 0.036 1419 51 o 0 1.02 8.69039 -8.38667 570.92 9371.25 2.68 2.35 -43.1 -0.431 17.87 18.42 03a59856o0349o
2459856.399024 16.05 0.036 1380 49 o 0 1.5 8.69039 -8.38667 592.22 9255.46 2.76 2.38 -47.2 -0.418 18.09 18.78 03a59856o0360o
2459857.368922 16.023 0.02 1415 28 o 0 1.9 8.69039 -8.38667 528.41 9330.2 2.64 2.38 -55.5 -0.428 19.06 19.81 03a59857o0310o
2459857.370732 16.096 0.021 1324 27 o 0 2.1 8.69039 -8.38667 509.64 9291.35 2.66 2.33 -46.9 -0.418 19.09 19.84 03a59857o0314o
2459857.374799 16.016 0.017 1424 25 o 0 3.07 8.69039 -8.38667 566.41 9371.02 2.67 2.33 -51.0 -0.43 19.08 19.85 03a59857o0323o
2459857.38024 16.032 0.018 1403 25 o 0 2.3 8.69039 -8.38667 588.95 9254.59 2.6 2.27 -58.0 -0.42 19.09 19.87 03a59857o0335o
2459858.609872 15.939 0.021 1529 32 o 0 1.38 8.69039 -8.38667 2464.13 5541.7 2.42 2.11 80.7 -0.389 18.49 18.96 04a59858o0257o
2459858.612575 15.969 0.021 1488 31 o 0 1.36 8.69039 -8.38667 2445.54 5501.95 2.27 1.94 80.3 -0.387 18.56 18.97 04a59858o0263o
2459858.633077 15.935 0.018 1534 28 o 0 2.09 8.69039 -8.38667 2515.3 5577.08 2.31 1.95 80.6 -0.384 18.54 18.85 04a59858o0306o
2459858.651221 15.966 0.021 1491 32 o 0 0.99 8.69039 -8.38667 2546.39 5457.85 2.34 2.13 89.4 -0.38 18.52 19.05 04a59858o0345o
2459858.936355 15.917 0.015 1560 23 o 0 1.41 8.69039 -8.38667 9635.88 3180.36 2.52 2.33 -57.8 -0.429 18.95 19.49 01a59858o0356o
2459858.939587 15.941 0.016 1526 24 o 0 1.39 8.69039 -8.38667 9656.9 3219.93 2.48 2.29 -60.1 -0.429 18.97 19.5 01a59858o0363o
2459858.967158 15.957 0.018 1504 27 o 0 1.32 8.69039 -8.38667 9601.74 3144.7 2.37 2.22 -61.0 -0.445 18.86 19.23 01a59858o0419o
2459858.975337 15.968 0.021 1488 31 o 0 1.24 8.69039 -8.38667 9583.0 3263.47 2.34 2.2 -66.5 -0.444 18.74 19.09 01a59858o0436o
2459864.913231 16.105 0.024 1312 31 o 0 1.55 8.69039 -8.38667 267.31 1706.94 1.86 1.76 -60.8 -0.489 18.57 19.04 02a59864o0474o
2459864.916399 16.018 0.018 1422 26 o 0 3.15 8.69039 -8.38667 248.59 1667.96 1.88 1.77 -57.6 -0.493 18.83 19.35 02a59864o0481o
2459864.922286 16.09 0.018 1331 24 o 0 2.27 8.69039 -8.38667 308.28 1747.11 1.88 1.76 -61.7 -0.489 18.81 19.35 02a59864o0494o
2459864.925914 16.092 0.022 1328 30 o 0 1.96 8.69039 -8.38667 10478.54 1727.05 2.04 1.61 -60.9 -0.507 18.83 19.34 02a59864o0502o
2459864.92908 16.077 0.019 1346 26 o 0 2.88 8.69039 -8.38667 10460.4 1689.06 2.01 1.59 -61.2 -0.549 18.84 19.33 02a59864o0509o
2459864.932245 16.038 0.02 1396 28 o 0 1.35 8.69039 -8.38667 329.09 1631.05 1.89 1.77 -56.2 -0.49 18.84 19.36 02a59864o0516o
2459864.934956 16.032 0.065 1403 91 o 0 0.9 8.69039 -8.38667 10519.06 1766.81 2.08 1.62 -61.8 -0.525 18.77 19.35 02a59864o0522o
2459866.924983 16.125 0.022 1288 28 o 0 1.15 8.69039 -8.38667 6492.21 7250.22 2.53 2.37 49.8 -0.38 18.86 19.66 01a59866o0441o
2459866.928217 16.129 0.022 1283 28 o 0 1.57 8.69039 -8.38667 6513.05 7289.28 2.45 2.29 48.2 -0.388 18.42 19.2 01a59866o0448o
2459866.933762 16.167 0.021 1239 26 o 0 1.34 8.69039 -8.38667 6455.37 7212.45 2.5 2.36 53.7 -0.379 18.84 19.44 01a59866o0460o
2459866.944152 16.178 0.063 1227 77 o 0 0.74 8.69039 -8.38667 6437.19 7329.1 2.45 2.32 47.0 -0.379 17.2 17.36 01a59866o0482o
2459868.901903 16.197 0.018 1205 22 o 0 2.47 8.69039 -8.38667 6298.4 5336.36 2.64 1.95 37.0 -0.432 19.28 20.19 02a59868o0453o
2459868.905066 16.197 0.017 1206 20 o 0 4.21 8.69039 -8.38667 6279.56 5298.08 2.65 1.95 37.0 -0.433 19.28 20.2 02a59868o0460o
2459868.910952 16.2 0.018 1202 22 o 0 3.0 8.69039 -8.38667 6338.08 5376.93 2.64 1.96 37.0 -0.43 19.27 20.25 02a59868o0473o
2459868.92508 16.189 0.017 1214 21 o 0 2.7 8.69039 -8.38667 6361.53 5262.69 2.59 1.96 38.2 -0.433 19.34 20.33 02a59868o0503o
2459870.889047 16.122 0.013 1291 17 o 0 2.08 8.69039 -8.38667 6503.96 7249.36 2.34 2.27 29.3 -0.406 19.57 20.6 01a59870o0365o
2459870.891858 16.075 0.015 1349 20 o 0 1.5 8.69039 -8.38667 6524.37 7288.43 2.34 2.3 14.5 -0.407 19.59 20.6 01a59870o0371o
2459870.896977 16.128 0.013 1285 17 o 0 2.66 8.69039 -8.38667 6467.48 7212.44 2.34 2.27 44.9 -0.405 19.57 20.63 01a59870o0382o
2459870.931382 16.108 0.016 1308 20 o 0 1.62 8.69039 -8.38667 6450.42 7331.28 2.42 2.31 55.9 -0.401 19.54 20.57 01a59870o0455o
2459873.386744 16.096 0.018 1323 24 o 0 1.22 8.69039 -8.38667 6068.64 3217.14 3.15 2.9 -46.9 -0.425 19.26 21.19 03a59873o0326o
2459873.389924 16.086 0.017 1335 23 o 0 1.81 8.69039 -8.38667 6084.94 3256.09 2.9 2.72 -51.1 -0.407 19.22 21.1 03a59873o0333o
2459873.3957930002 16.112 0.016 1303 21 o 0 1.59 8.69039 -8.38667 6025.6 3177.37 2.92 2.7 -45.4 -0.406 19.29 21.18 03a59873o0346o
2459873.430818 16.16 0.044 1248 55 o 0 0.58 8.69039 -8.38667 5993.55 3298.91 3.79 3.51 -51.4 -0.392 18.76 20.84 03a59873o0421o
2459874.944512 16.139 0.014 1271 18 o 0 1.74 8.69039 -8.38667 4144.1 3383.4 2.59 2.44 34.8 -0.393 19.52 20.84 01a59874o0376o
2459874.95006 16.155 0.015 1253 18 o 0 1.37 8.69039 -8.38667 4163.98 3421.97 2.43 2.27 45.2 -0.412 19.59 20.83 01a59874o0388o
2459874.952838 16.162 0.015 1245 19 o 0 1.77 8.69039 -8.38667 4106.45 3344.84 2.59 2.43 37.1 -0.398 19.5 20.79 01a59874o0394o
2459874.963477 16.143 0.015 1267 19 o 0 2.08 8.69039 -8.38667 4090.31 3462.15 2.48 2.34 45.8 -0.405 19.5 20.71 01a59874o0417o
2459877.381173 16.172 0.017 1234 20 o 0 2.15 8.69039 -8.38667 6064.34 3221.15 2.27 2.03 -54.9 -0.426 19.46 20.79 03a59877o0310o
2459877.38479 16.225 0.015 1175 18 o 0 2.3 8.69039 -8.38667 6081.19 3261.3 2.43 2.13 -50.7 -0.411 19.39 20.76 03a59877o0318o
2459877.390254 16.188 0.016 1216 20 o 0 1.54 8.69039 -8.38667 6023.29 3183.61 2.37 2.15 -50.1 -0.429 19.41 20.79 03a59877o0330o
2459877.425219 16.27 0.033 1127 37 o 0 1.3 8.69039 -8.38667 5992.66 3301.42 2.29 2.02 -53.0 -0.418 18.37 19.65 03a59877o0406o
2459878.865872 16.29 0.019 1107 21 o 0 1.33 8.69039 -8.38667 4126.9 3391.33 3.14 2.63 3.5 -0.363 19.27 20.59 01a59878o0387o
2459878.869108 16.289 0.019 1108 21 o 0 1.49 8.69039 -8.38667 4146.3 3429.84 3.39 2.9 3.6 -0.361 19.19 20.59 01a59878o0394o
2459878.874653 16.301 0.018 1095 20 o 0 1.22 8.69039 -8.38667 4089.94 3353.05 2.97 2.63 14.5 -0.381 19.28 20.57 01a59878o0406o
2459878.887265 16.264 0.019 1134 21 o 0 1.11 8.69039 -8.38667 4073.14 3470.31 2.98 2.63 10.8 -0.377 19.31 20.6 01a59878o0433o
2459881.247398 16.322 0.024 1075 26 o 0 0.89 8.69039 -8.38667 9307.83 5077.38 2.5 2.04 -59.7 -0.384 18.93 19.71 03a59881o0012o
2459881.24965 16.333 0.023 1063 24 o 0 1.15 8.69039 -8.38667 9289.82 5038.05 2.57 2.12 -58.7 -0.374 19.12 20.17 03a59881o0017o
2459881.250101 16.345 0.019 1052 20 o 0 2.22 8.69039 -8.38667 9346.25 5116.22 2.58 2.12 -60.3 -0.372 19.14 20.22 03a59881o0018o
2459881.250551 16.347 0.019 1050 20 o 0 2.46 8.69039 -8.38667 9368.54 5000.45 2.61 2.13 -62.2 -0.377 19.13 20.25 03a59881o0019o
2459881.251002 16.228 0.02 1172 24 o 0 1.5 8.69039 -8.38667 9328.26 5057.81 2.62 2.13 -63.5 -0.48 19.18 20.28 03a59881o0020o
2459881.251903 16.327 0.021 1070 22 o 0 1.8 8.69039 -8.38667 4179.23 1471.94 2.41 2.23 -53.6 -0.396 19.15 20.34 03a59881o0022o
2459881.253708 16.308 0.019 1088 21 o 0 1.94 8.69039 -8.38667 4160.82 1432.24 2.38 2.19 -54.4 -0.4 19.2 20.41 03a59881o0026o
2459881.256871 16.36 0.018 1038 19 o 0 1.89 8.69039 -8.38667 4217.04 1510.95 2.45 2.24 -69.2 -0.399 19.21 20.52 03a59881o0033o
2459881.262277 16.308 0.024 1088 26 o 0 1.45 8.69039 -8.38667 4238.47 1394.02 2.33 2.15 -61.2 -0.403 18.91 20.06 03a59881o0045o
2459882.8641 16.323 0.019 1073 20 o 0 1.32 8.69039 -8.38667 10193.07 6972.27 2.66 2.42 -54.7 -0.438 19.56 20.78 01a59882o0343o
2459882.867333 16.299 0.018 1097 20 o 0 1.38 8.69039 -8.38667 10214.03 7012.21 2.57 2.32 -53.0 -0.444 19.6 20.78 01a59882o0350o
2459882.873338 16.279 0.018 1118 20 o 0 1.43 8.69039 -8.38667 10155.92 6934.3 2.67 2.41 -56.3 -0.444 19.55 20.8 01a59882o0363o
2459882.883976 16.305 0.016 1091 18 o 0 2.24 8.69039 -8.38667 10137.58 7052.19 2.57 2.35 -56.6 -0.443 19.58 20.81 01a59882o0386o
2459883.621857 16.189 0.021 1214 25 o 0 1.89 8.69039 -8.38667 10024.33 3049.23 3.28 2.1 -20.7 -0.368 19.27 20.6 04a59883o0294o
2459883.625013 15.962 0.02 1497 30 o 0 2.53 8.69039 -8.38667 10045.03 3085.96 3.24 2.05 -22.8 -0.372 19.33 20.63 04a59883o0301o
2459883.630423 16.106 0.02 1311 26 o 0 2.75 8.69039 -8.38667 9988.86 3003.59 3.23 2.07 -21.5 -0.379 19.32 20.67 04a59883o0313o
2459883.640799 15.922 0.019 1553 30 o 0 3.15 8.69039 -8.38667 9972.66 3111.7 3.1 2.01 -21.9 -0.405 19.3 20.6 04a59883o0336o
2459884.877618 16.256 0.018 1142 20 o 0 2.92 8.69039 -8.38667 6528.59 9216.45 2.3 2.02 44.1 -0.435 19.31 20.23 02a59884o0404o
2459884.880784 16.25 0.02 1148 23 o 0 1.4 8.69039 -8.38667 6509.82 9180.0 2.28 2.01 47.5 -0.439 19.35 20.23 02a59884o0411o
2459884.886207 16.23 0.02 1170 23 o 0 1.29 8.69039 -8.38667 6569.25 9260.84 2.27 2.06 49.8 -0.44 19.33 20.24 02a59884o0423o
2459884.896824 16.243 0.018 1155 20 o 0 2.18 8.69039 -8.38667 6588.79 9142.32 2.28 2.01 45.8 -0.436 19.37 20.3 02a59884o0446o
2459884.916399 16.278 0.018 1118 20 o 0 1.93 8.69039 -8.38667 6555.81 9203.43 2.36 2.08 47.8 -0.432 19.42 20.45 02a59884o0489o
2459885.357146 16.26 0.023 1138 26 o 0 1.18 8.69039 -8.38667 6259.3 9023.46 2.76 2.31 -42.2 -0.385 18.95 19.79 03a59885o0245o
2459886.848154 16.276 0.022 1121 25 o 0 1.43 8.69039 -8.38667 10192.46 6969.84 2.73 2.24 -52.1 -0.458 18.91 19.31 01a59886o0203o
2459886.850924 16.354 0.025 1044 26 o 0 1.63 8.69039 -8.38667 10213.54 7009.27 2.74 2.24 -53.7 -0.453 18.97 19.34 01a59886o0209o
2459886.871179 16.284 0.023 1113 26 o 0 1.73 8.69039 -8.38667 10155.83 6932.07 2.61 2.24 -55.0 -0.465 19.0 19.4 01a59886o0251o
2459886.884654 16.325 0.03 1072 32 o 0 0.91 8.69039 -8.38667 10138.0 7050.97 2.78 2.42 -57.9 -0.454 18.86 19.31 01a59886o0280o
2459891.669306 16.312 0.072 1084 78 o 0 2.63 8.69039 -8.38667 10293.5 8906.83 2.8 2.4 3.6 -0.39 17.64 17.24 04a59891o0333o
2459892.927513 16.518 0.033 897 30 o 0 1.53 8.69039 -8.38667 8694.97 5730.06 2.55 2.21 33.6 -0.401 18.59 18.92 02a59892o0399o
2459892.930682 16.536 0.035 883 31 o 0 1.65 8.69039 -8.38667 8675.49 5691.42 2.82 2.56 30.6 -0.399 18.43 18.9 02a59892o0406o
2459892.951228 16.453 0.032 953 31 o 0 1.35 8.69039 -8.38667 8735.78 5769.0 2.53 2.31 34.1 -0.408 18.47 18.77 02a59892o0451o
2459892.957562 16.481 0.039 928 36 o 0 1.36 8.69039 -8.38667 8756.89 5652.44 2.59 2.41 31.5 -0.409 18.42 18.74 02a59892o0465o
2459893.440974 16.598 0.044 834 36 o 0 0.95 8.69039 -8.38667 8047.67 5116.72 2.81 2.39 -54.4 -0.386 18.4 18.94 03a59893o0429o
2459893.458998 16.452 0.039 953 37 o 0 1.04 8.69039 -8.38667 8066.29 5151.29 2.77 2.46 -49.8 -0.403 18.37 18.9 03a59893o0468o
2459893.463693 16.534 0.036 884 32 o 0 1.38 8.69039 -8.38667 8011.08 5072.08 2.81 2.45 -53.9 -0.394 18.31 18.86 03a59893o0477o
2459893.473398 16.508 0.04 905 36 o 0 1.4 8.69039 -8.38667 7991.86 5185.03 2.86 2.47 -49.8 -0.385 18.29 18.77 03a59893o0497o
2459894.814597 16.524 0.021 892 19 o 0 3.04 8.69039 -8.38667 9869.72 1128.99 2.51 2.08 -55.4 -0.428 19.22 19.9 01a59894o0288o
2459894.817828 16.51 0.026 904 23 o 0 1.67 8.69039 -8.38667 9889.58 1168.57 2.49 2.09 -54.5 -0.428 19.22 19.9 01a59894o0295o
2459894.824315 16.525 0.025 891 23 o 0 1.66 8.69039 -8.38667 9831.92 1090.16 2.54 2.16 -53.3 -0.419 19.14 19.88 01a59894o0309o
2459894.835409 16.513 0.026 901 23 o 0 1.48 8.69039 -8.38667 9812.84 1209.66 2.65 2.24 -54.2 -0.415 19.16 19.89 01a59894o0333o
2459896.907085 16.41 0.024 991 24 o 0 1.29 8.69039 -8.38667 8702.42 5727.72 2.39 2.19 39.8 -0.419 19.11 19.93 02a59896o0311o
2459896.934003 16.115 0.017 1300 22 o 0 10.09 8.69039 -8.38667 8686.64 5690.32 2.5 2.24 33.6 -0.409 18.97 19.76 02a59896o0325o
2459896.935828 16.451 0.029 954 27 o 0 1.15 8.69039 -8.38667 8744.39 5767.27 2.57 2.35 32.5 -0.403 18.96 19.74 02a59896o0329o
2459896.938997 16.432 0.025 971 24 o 0 1.51 8.69039 -8.38667 8764.96 5650.87 2.46 2.26 35.1 -0.404 18.97 19.71 02a59896o0336o
2459899.601742 16.511 0.019 903 17 o 0 1.8 8.69039 -8.38667 4299.19 5249.09 2.02 1.84 -67.3 -0.41 19.48 20.9 04a59899o0223o
2459899.60453 16.551 0.019 870 16 o 0 2.21 8.69039 -8.38667 4319.49 5285.28 2.08 1.92 -63.4 -0.408 19.41 20.9 04a59899o0229o
2459899.610872 16.526 0.021 890 19 o 0 2.11 8.69039 -8.38667 4264.2 5202.23 1.94 1.81 -61.2 -0.409 19.46 20.89 04a59899o0243o
2459899.625754 16.501 0.016 911 15 o 0 3.52 8.69039 -8.38667 4249.27 5307.03 2.01 1.86 -57.5 -0.4 19.44 20.85 04a59899o0276o
2459900.892611 16.569 0.024 856 20 o 0 1.67 8.69039 -8.38667 8800.23 7667.67 2.42 2.11 37.6 -0.426 19.37 20.43 02a59900o0313o
2459900.960745 16.558 0.026 865 23 o 0 1.93 8.69039 -8.38667 8835.97 7708.18 2.72 2.41 32.3 -0.401 19.02 20.09 02a59900o0335o
2459900.986588 16.551 0.035 870 31 o 0 0.99 8.69039 -8.38667 8854.49 7592.58 2.98 2.45 27.6 -0.376 18.75 19.74 02a59900o0340o
2459903.587645 16.643 0.02 799 16 o 0 2.88 8.69039 -8.38667 4300.33 5252.99 2.17 2.05 -45.0 -0.4 19.26 20.71 04a59903o0187o
2459903.590799 16.609 0.023 825 19 o 0 1.78 8.69039 -8.38667 4321.44 5287.9 2.15 2.05 -57.3 -0.403 19.27 20.71 04a59903o0194o
2459903.598042 16.58 0.02 848 17 o 0 2.36 8.69039 -8.38667 4266.69 5203.56 2.24 2.08 -63.5 -0.4 19.22 20.71 04a59903o0210o
2459903.607963 16.612 0.023 822 19 o 0 1.77 8.69039 -8.38667 4249.01 5312.87 2.14 2.0 -73.4 -0.4 19.31 20.69 04a59903o0232o
2459907.571166 16.618 0.024 818 20 o 0 2.25 8.69039 -8.38667 4513.7 9128.9 2.78 2.3 -73.3 -0.373 19.23 20.6 04a59907o0145o
2459907.57479 16.724 0.03 742 22 o 0 2.42 8.69039 -8.38667 4534.44 9163.53 2.79 2.23 -75.5 -0.377 18.94 20.23 04a59907o0153o
2459907.582011 16.764 0.045 715 32 o 0 1.66 8.69039 -8.38667 4478.45 9079.94 2.73 2.14 -71.6 -0.395 18.41 19.71 04a59907o0169o
2459907.591932 16.992 0.401 580 233 o 0 0.71 8.69039 -8.38667 4463.85 9189.17 2.71 2.16 -73.5 -0.383 18.02 19.34 04a59907o0191o
2459908.802476 16.563 0.023 860 20 o 0 1.2 8.69039 -8.38667 8604.99 3782.46 2.54 2.18 -65.3 -0.42 19.33 20.6 02a59908o0265o
2459908.805641 16.547 0.025 873 21 o 0 1.18 8.69039 -8.38667 8586.03 3743.89 2.64 2.29 -66.5 -0.407 19.31 20.6 02a59908o0272o
2459908.811975 16.502 0.02 911 19 o 0 1.96 8.69039 -8.38667 8645.01 3823.03 2.74 2.36 -66.2 -0.411 19.28 20.63 02a59908o0286o
2459908.821773 16.574 0.022 852 19 o 0 1.72 8.69039 -8.38667 8664.23 3705.63 2.72 2.32 -67.8 -0.407 19.29 20.66 02a59908o0307o
2459909.638171 16.614 0.025 821 20 o 0 1.13 8.69039 -8.38667 1252.55 5481.01 2.39 1.98 74.5 -0.398 19.3 20.59 04a59909o0279o
2459909.673581 16.602 0.024 830 20 o 0 1.44 8.69039 -8.38667 1271.31 5517.9 2.34 1.98 80.0 -0.387 19.24 20.51 04a59909o0351o
2459909.674031 16.589 0.023 840 20 o 0 2.47 8.69039 -8.38667 1212.85 5440.82 2.33 1.96 79.7 -0.39 19.26 20.5 04a59909o0352o
2459909.674481 16.628 0.023 811 18 o 0 1.36 8.69039 -8.38667 1193.04 5557.06 2.28 1.92 82.7 -0.399 19.26 20.5 04a59909o0353o
2459909.674931 16.615 0.023 820 19 o 0 1.76 8.69039 -8.38667 1231.93 5498.77 2.28 1.96 78.8 -0.397 19.21 20.47 04a59909o0354o
2459911.5654 16.664 0.028 784 22 o 0 1.43 8.69039 -8.38667 4516.94 9120.53 2.86 2.51 -75.9 -0.383 19.17 20.69 04a59911o0127o
2459911.568552 16.65 0.028 794 22 o 0 1.77 8.69039 -8.38667 4537.07 9158.09 2.9 2.51 -75.5 -0.38 19.18 20.69 04a59911o0134o
2459911.575766 16.596 0.033 835 27 o 0 1.48 8.69039 -8.38667 4481.61 9074.69 3.08 2.67 -79.1 -0.356 18.32 19.88 04a59911o0150o
2459911.585733 16.714 0.026 749 20 o 0 2.25 8.69039 -8.38667 4465.65 9183.71 3.05 2.44 -74.1 -0.371 19.17 20.6 04a59911o0172o
2459913.292463 16.697 0.031 760 23 o 0 1.43 8.69039 -8.38667 9945.0 3142.32 2.66 2.08 -65.1 -0.372 19.0 19.85 03a59913o0074o
2459913.296532 16.673 0.032 778 25 o 0 1.13 8.69039 -8.38667 9961.34 3182.11 2.65 2.12 -63.6 -0.367 18.99 19.89 03a59913o0083o
2459913.301944 16.671 0.032 779 25 o 0 1.25 8.69039 -8.38667 9902.81 3104.29 2.73 2.26 -64.1 -0.379 18.96 19.91 03a59913o0095o
2459913.311962 16.684 0.026 770 20 o 0 1.64 8.69039 -8.38667 9875.54 3221.28 2.6 2.09 -65.1 -0.373 19.0 19.9 03a59913o0117o
2459919.595976 16.794 0.044 696 31 o 0 1.32 8.69039 -8.38667 4080.14 1341.39 2.29 2.18 20.9 -0.426 18.47 18.92 04a59919o0181o
2459919.599584 16.848 0.048 662 32 o 0 1.04 8.69039 -8.38667 4099.42 1378.38 2.21 2.1 15.9 -0.437 18.49 18.91 04a59919o0189o
2459919.605526 16.843 0.054 665 36 o 0 0.96 8.69039 -8.38667 4041.05 1297.54 2.25 2.15 14.1 -0.433 18.46 18.91 04a59919o0202o
2459919.618147 16.844 0.046 664 30 o 0 1.47 8.69039 -8.38667 4021.18 1410.25 2.1 1.99 -14.6 -0.393 18.52 18.86 04a59919o0230o
2459921.313408 16.724 0.044 742 32 o 0 1.51 8.69039 -8.38667 10108.51 8974.59 3.0 2.28 -55.2 -0.445 18.65 19.13 03a59921o0109o
2459921.317014 16.663 0.044 785 35 o 0 1.49 8.69039 -8.38667 10126.5 9014.4 2.92 2.16 -55.5 -0.457 18.66 19.11 03a59921o0117o
2459921.324249 16.681 0.045 772 35 o 0 1.26 8.69039 -8.38667 10068.85 8934.04 2.88 2.12 -56.5 -0.444 18.68 19.06 03a59921o0133o
2459921.340956 16.668 0.04 781 32 o 0 1.74 8.69039 -8.38667 10046.43 9049.98 2.99 2.17 -55.0 -0.448 18.61 18.97 03a59921o0170o
2459923.567562 16.81 0.109 686 75 o 0 0.47 8.69039 -8.38667 1914.87 4844.16 2.54 2.26 78.5 -0.408 19.0 20.26 04a59923o0115o
2459923.57117 16.751 0.035 724 25 o 0 1.16 8.69039 -8.38667 1934.59 4880.41 2.47 2.17 76.8 -0.416 18.99 20.11 04a59923o0123o
2459923.577032 16.77 0.029 711 21 o 0 1.4 8.69039 -8.38667 1877.57 4799.73 2.5 2.23 78.4 -0.404 18.92 19.99 04a59923o0136o
2459923.5906309998 16.725 0.133 741 98 o 0 0.3 8.69039 -8.38667 1859.64 4909.38 2.56 2.25 83.8 -0.394 18.77 19.82 04a59923o0166o
2459945.285365 17.049 0.137 550 75 o 0 1.1 8.69039 -8.38667 7857.06 7439.21 2.87 2.3 -56.9 -0.373 17.44 17.06 03a59945o0027o
