|     name |                                                      realimg | flt |            obstime | camera |   exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 122.fits |              SN2022jli_20221112_031221_SR_150_NM_32_C002.fts |  rp | 2459895.6336208335 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.27 |            4882.56 |     0.0 |   277 |        0 | 0.0 | 0.0 |  19.105 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 | 16.548 |     0.049 |    0 | 0.9715571457467482 |      0.0 |      ? | 500.47 | 501.58 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 177.fits |              SN2022jli_20221112_031502_SR_150_NM_32_C003.fts |  rp |  2459895.635448727 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.96 |            4602.56 |     0.0 |   253 |        0 | 0.0 | 0.0 |  19.142 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 | 16.585 |     0.049 |    0 | 0.9716057876050024 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 013.fits |              SN2022jli_20221113_031214_SR_150_NM_32_C001.fts |  rp |  2459896.633595949 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.07 |            2111.61 |     0.0 |   452 |        0 | 0.0 | 0.0 |  19.131 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 | 16.574 |     0.049 |    0 | 0.9713073242453514 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 248.fits |              SN2022jli_20221113_031501_SR_150_NM_32_C002.fts |  rp |  2459896.635446528 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.85 |            2019.65 |     0.0 |   335 |        0 | 0.0 | 0.0 |  19.147 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 |  16.59 |     0.049 |    0 | 0.9716014753508014 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 173.fits |              SN2022jli_20221113_031741_SR_150_NM_32_C003.fts |  rp | 2459896.6372894677 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.92 |            2052.93 |     0.0 |   272 |        0 | 0.0 | 0.0 |  19.137 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 |  16.58 |     0.049 |    0 | 0.9714922109965942 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 296.fits |              SN2022jli_20221114_025634_SR_150_NM_32_C001.fts |  rp |  2459897.622711574 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.65 |            2000.94 |     0.0 |   227 |        0 | 0.0 | 0.0 |  19.178 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.621 |      0.05 |    0 | 0.9712835275503297 |      0.0 |      ? | 500.47 | 501.53 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 297.fits |              SN2022jli_20221114_025920_SR_150_NM_32_C002.fts |  rp |  2459897.624557523 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.74 |            2037.84 |     0.0 |   401 |        0 | 0.0 | 0.0 |  19.141 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 | 16.584 |     0.049 |    0 | 0.9713619882277008 |      0.0 |      ? | 500.53 | 501.52 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 069.fits |              SN2022jli_20221114_030159_SR_150_NM_32_C003.fts |  rp | 2459897.6263991897 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.52 |            2038.55 |     0.0 |   274 |        0 | 0.0 | 0.0 |    19.2 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.643 |      0.05 |    0 | 0.9714578570526421 |      0.0 |      ? | 500.51 | 501.57 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 220.fits |              SN2022jli_20221115_024924_SR_150_NM_32_C001.fts |  rp | 2459898.6177394674 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.19 |            1583.73 |     0.0 |   202 |        0 | 0.0 | 0.0 |  19.182 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.625 |      0.05 |    0 | 0.9713385426659716 |      0.0 |      ? | 500.48 | 501.56 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 042.fits |              SN2022jli_20221115_025210_SR_150_NM_32_C002.fts |  rp | 2459898.6195689817 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.27 |            1577.76 |     0.0 |   243 |        0 | 0.0 | 0.0 |  19.208 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.651 |      0.05 |    0 | 0.9721981685542294 |      0.0 |      ? | 500.55 | 501.56 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 010.fits |              SN2022jli_20221115_025449_SR_150_NM_32_C003.fts |  rp |  2459898.621415625 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |                3.8 |            1547.77 |     0.0 |   278 |        0 | 0.0 | 0.0 |  19.172 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.615 |      0.05 |    0 | 0.9713755962115206 |      0.0 |      ? | 500.48 | 501.59 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 303.fits |              SN2022jli_20221115_052929_SR_150_NM_32_C001.fts |  rp |  2459898.728911227 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.61 |            2315.97 |     0.0 |   328 |        0 | 0.0 | 0.0 |  19.215 |      0.045 |  99.99 |     99.99 |  99.99 |     99.99 | 16.658 |     0.051 |    0 | 0.9712214516277123 |      0.0 |      ? | 500.51 | 501.55 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 226.fits |              SN2022jli_20221115_053216_SR_150_NM_32_C002.fts |  rp | 2459898.7307528937 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.26 |            2383.87 |     0.0 |   291 |        0 | 0.0 | 0.0 |   19.23 |      0.045 |  99.99 |     99.99 |  99.99 |     99.99 | 16.673 |     0.051 |    0 | 0.9714053554511738 |      0.0 |      ? | 500.47 | 501.55 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
