|     name |                                                                realimg | flt |            obstime | camera |   exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |              fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 222.fits |                        SN2022jli_20221112_030412_SG_150_NM_32_C002.fts |  gp | 2459895.6279434026 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.12 |            4023.63 |     0.0 |    98 |        0 | 0.0 | 0.0 |  19.229 |      0.046 |  99.99 |     99.99 |  99.99 |     99.99 | 16.687 |     0.046 |    0 | 0.9715474432561717 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 272.fits |                        SN2022jli_20221112_030653_SG_150_NM_32_C003.fts |  gp |  2459895.629797338 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.0 |             4002.7 |     0.0 |   186 |        0 | 0.0 | 0.0 |  19.242 |      0.046 |  99.99 |     99.99 |  99.99 |     99.99 |   16.7 |     0.046 |    0 | 0.9717853540917375 |      0.0 |      ? | 500.52 | 501.51 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 265.fits |                        SN2022jli_20221113_030413_SG_150_NM_32_C001.fts |  gp | 2459896.6279496527 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.01 |             879.87 |     0.0 |   166 |        0 | 0.0 | 0.0 |  19.168 |      0.043 |  99.99 |     99.99 |  99.99 |     99.99 | 16.626 |     0.043 |    0 | 0.9714816537967805 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 063.fits |                        SN2022jli_20221113_030653_SG_150_NM_32_C002.fts |  gp | 2459896.6297993055 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.32 |             900.81 |     0.0 |   211 |        0 | 0.0 | 0.0 |  19.189 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.647 |     0.044 |    0 | 0.9714383779047087 |      0.0 |      ? |  500.5 | 501.55 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 255.fits |                        SN2022jli_20221113_030933_SG_150_NM_32_C003.fts |  gp | 2459896.6316467593 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.21 |             960.54 |     0.0 |   269 |        0 | 0.0 | 0.0 |  19.211 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.669 |     0.044 |    0 | 0.9716236081559826 |      0.0 |      ? | 500.55 | 501.57 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 142.fits |                        SN2022jli_20221114_024833_SG_150_NM_32_C001.fts |  gp |   2459897.61706875 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.6 |             802.62 |     0.0 |   167 |        0 | 0.0 | 0.0 |  19.188 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.646 |     0.044 |    0 |  0.971376641688814 |      0.0 |      ? | 500.56 | 501.49 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 080.fits |                        SN2022jli_20221114_025113_SG_150_NM_32_C002.fts |  gp | 2459897.6189234955 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.71 |             800.72 |     0.0 |   204 |        0 | 0.0 | 0.0 |  19.188 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.646 |     0.044 |    0 | 0.9714703503159194 |      0.0 |      ? | 500.56 | 501.59 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 096.fits |                        SN2022jli_20221114_025352_SG_150_NM_32_C003.fts |  gp |  2459897.620766551 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              3.81 |             800.65 |     0.0 |   183 |        0 | 0.0 | 0.0 |  19.198 |      0.044 |  99.99 |     99.99 |  99.99 |     99.99 | 16.656 |     0.044 |    0 | 0.9713701876952484 |      0.0 |      ? | 500.54 | 501.53 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 071.fits |                        SN2022jli_20221115_024125_SG_150_NM_32_C001.fts |  gp |  2459898.612118403 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.14 |             862.78 |     0.0 |   159 |        0 | 0.0 | 0.0 |  19.264 |      0.046 |  99.99 |     99.99 |  99.99 |     99.99 | 16.722 |     0.046 |    0 | 0.9713963703049961 |      0.0 |      ? |  500.5 | 501.55 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 251.fits |                        SN2022jli_20221115_024405_SG_150_NM_32_C002.fts |  gp | 2459898.6139586805 |      ? |     150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |              4.53 |             869.95 |     0.0 |   159 |        0 | 0.0 | 0.0 |  19.307 |      0.047 |  99.99 |     99.99 |  99.99 |     99.99 | 16.765 |     0.047 |    0 | 0.9715398930232761 |      0.0 |      ? |  500.6 | 501.62 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
