|     name |                                         realimg | flt |            obstime | camera |    exptime | bitpix |   NX |   NY | flt2int | fixbad | rmCR |               fwhm |                bkg | airmass | nstar | template |   x |   y | instmag | instmagerr | relmag | relmagerr | magzpt | magzpterr | calmag | calmagerr | drop |         geotranfac | fwhmconv | convon |   xsub |   ysub | fitsky | magap1 | magerrap1 | mskyap1 | magap2 | magerrap2 | mskyap2 |  mag1 | magerr1 |  mag2 | magerr2 | magfit1 | magerrfit1 | mskyfit1 | magfit2 | magerrfit2 | mskyfit2 | magdiff |
| 225.fits | SN2022jli_20221114_031532_SZ_150_NM_32_C002.fts |  zp | 2459897.6357952547 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.35 |            5048.55 |     0.0 |    98 |        0 | 0.0 | 0.0 |  18.367 |      0.034 |  99.99 |     99.99 |  99.99 |     99.99 | 15.789 |     0.061 |    0 | 0.9713601530378699 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 115.fits | SN2022jli_20221114_031811_SZ_150_NM_32_C003.fts |  zp | 2459897.6377033563 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.46 |            4949.99 |     0.0 |   107 |        0 | 0.0 | 0.0 |   18.34 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 | 15.762 |     0.061 |    0 | 0.9714391960868144 |      0.0 |      ? | 486.51 | 487.65 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 027.fits | SN2022jli_20221115_030554_SZ_150_NM_32_C001.fts |  zp |  2459898.629133449 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.78 |            2963.51 |     0.0 |   106 |        0 | 0.0 | 0.0 |  18.324 |      0.034 |  99.99 |     99.99 |  99.99 |     99.99 | 15.746 |     0.061 |    0 | 0.9716096486531743 |      0.0 |      ? | 486.49 | 487.66 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 120.fits | SN2022jli_20221115_030834_SZ_150_NM_32_C002.fts |  zp | 2459898.6309685186 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.54 |            2879.64 |     0.0 |   130 |        0 | 0.0 | 0.0 |   18.33 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 | 15.752 |     0.061 |    0 | 0.9714852599805693 |      0.0 |      ? | 486.48 | 487.59 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 028.fits | SN2022jli_20221115_031114_SZ_150_NM_32_C003.fts |  zp | 2459898.6328730322 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.47 |            2883.58 |     0.0 |   178 |        0 | 0.0 | 0.0 |  18.308 |      0.033 |  99.99 |     99.99 |  99.99 |     99.99 |  15.73 |     0.061 |    0 |  0.971276156886982 |      0.0 |      ? | 486.54 | 487.66 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 160.fits | SN2022jli_20221118_025548_SZ_150_NM_32_C001.fts |  zp |  2459901.622124653 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.35 |            3701.66 |     0.0 |    96 |        0 | 0.0 | 0.0 |  18.382 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 15.804 |     0.064 |    0 | 0.9717617870460599 |      0.0 |      ? | 486.43 | 487.71 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 253.fits | SN2022jli_20221118_025829_SZ_150_NM_32_C002.fts |  zp |  2459901.623970486 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.44 |            3629.58 |     0.0 |    71 |        0 | 0.0 | 0.0 |  18.441 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 15.863 |     0.064 |    0 |  0.971273563549508 |      0.0 |      ? | 486.48 | 487.58 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 118.fits | SN2022jli_20221118_030109_SZ_150_NM_32_C003.fts |  zp | 2459901.6258741897 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.23 |            3534.88 |     0.0 |   104 |        0 | 0.0 | 0.0 |  18.422 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.844 |     0.063 |    0 | 0.9717783611060948 |      0.0 |      ? | 486.55 | 487.62 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 090.fits | SN2022jli_20221121_025526_SZ_150_NM_32_C001.fts |  zp | 2459904.6218975694 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.99 |            4748.64 |     0.0 |    90 |        0 | 0.0 | 0.0 |  18.499 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.921 |     0.063 |    0 | 0.9718869001841093 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 034.fits | SN2022jli_20221121_025810_SZ_150_NM_32_C002.fts |  zp | 2459904.6237377315 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               2.98 |            4678.98 |     0.0 |    90 |        0 | 0.0 | 0.0 |  18.508 |      0.036 |  99.99 |     99.99 |  99.99 |     99.99 |  15.93 |     0.062 |    0 | 0.9723774690377756 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 242.fits | SN2022jli_20221121_030049_SZ_150_NM_32_C003.fts |  zp |  2459904.625645139 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.02 |            4703.59 |     0.0 |   136 |        0 | 0.0 | 0.0 |  18.527 |      0.036 |  99.99 |     99.99 |  99.99 |     99.99 | 15.949 |     0.062 |    0 | 0.9714497165027035 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 263.fits | SN2022jli_20221121_054531_SZ_150_NM_32_C001.fts |  zp |  2459904.739980671 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.23 |            4363.62 |     0.0 |   114 |        0 | 0.0 | 0.0 |  18.539 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 15.961 |     0.064 |    0 | 0.9711897681848107 |      0.0 |      ? |    0.0 |    0.0 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 182.fits | SN2022jli_20221121_054811_SZ_150_NM_32_C002.fts |  zp |  2459904.741879398 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.42 |            4422.63 |     0.0 |   119 |        0 | 0.0 | 0.0 |  18.525 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.947 |     0.063 |    0 | 0.9715272601669444 |      0.0 |      ? | 486.42 | 487.62 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 138.fits | SN2022jli_20221121_055056_SZ_150_NM_32_C003.fts |  zp | 2459904.7437210646 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.26 |            4481.91 |     0.0 |    96 |        0 | 0.0 | 0.0 |  18.503 |      0.035 |  99.99 |     99.99 |  99.99 |     99.99 | 15.925 |     0.062 |    0 | 0.9718815605923237 |      0.0 |      ? |  486.5 | 487.61 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 226.fits | SN2022jli_20221122_025549_SZ_150_NM_32_C001.fts |  zp | 2459905.6221311344 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.65 |            3125.76 |     0.0 |   188 |        0 | 0.0 | 0.0 |  18.562 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 15.984 |     0.064 |    0 | 0.9719238633294774 |      0.0 |      ? | 486.52 |  487.7 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 206.fits | SN2022jli_20221122_025830_SZ_150_NM_32_C002.fts |  zp | 2459905.6239784723 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.52 |            3124.99 |     0.0 |   180 |        0 | 0.0 | 0.0 |  18.591 |      0.039 |  99.99 |     99.99 |  99.99 |     99.99 | 16.013 |     0.064 |    0 | 0.9720188321416907 |      0.0 |      ? | 486.53 | 487.64 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 124.fits | SN2022jli_20221122_030110_SZ_150_NM_32_C003.fts |  zp | 2459905.6258288193 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               3.63 |            3118.97 |     0.0 |   203 |        0 | 0.0 | 0.0 |  18.558 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 |  15.98 |     0.063 |    0 | 0.9717117056758937 |      0.0 |      ? | 486.54 | 487.66 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 191.fits | SN2022jli_20221122_054529_SZ_150_NM_32_C001.fts |  zp | 2459905.7399671297 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.18 |            3010.78 |     0.0 |   128 |        0 | 0.0 | 0.0 |  18.498 |      0.036 |  99.99 |     99.99 |  99.99 |     99.99 |  15.92 |     0.062 |    0 | 0.9718388544703737 |      0.0 |      ? | 486.42 | 487.68 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 066.fits | SN2022jli_20221122_054810_SZ_150_NM_32_C002.fts |  zp | 2459905.7418667823 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.22 |            3054.57 |     0.0 |   107 |        0 | 0.0 | 0.0 |    18.5 |      0.037 |  99.99 |     99.99 |  99.99 |     99.99 | 15.922 |     0.063 |    0 |  0.971473711037824 |      0.0 |      ? | 486.51 | 487.69 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
| 224.fits | SN2022jli_20221122_055056_SZ_150_NM_32_C003.fts |  zp |  2459905.743716435 |      ? |      150.0 |    -64 | 1024 | 1024 |       0 |      0 |    0 |               4.63 |            3066.78 |     0.0 |    95 |        0 | 0.0 | 0.0 |  18.504 |      0.038 |  99.99 |     99.99 |  99.99 |     99.99 | 15.926 |     0.064 |    0 | 0.9710118680663259 |      0.0 |      ? | 486.46 | 487.69 |      ? |  99.99 |     99.99 |     0.0 |  99.99 |     99.99 |     0.0 | 99.99 |   99.99 | 99.99 |   99.99 |   99.99 |      99.99 |      0.0 |   99.99 |      99.99 |      0.0 |   99.99 |
