"obj_id","ra","dec","filter","mjd","snr","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","annotations","mag","magerr","magsys","limiting_mag","Delete"
"ZTF22aapubuy","8.6903826","-8.3866897","ztfg","59757.453020799905","44.74494861163782","1","ZTF","","","None","235499639","","","15.244199805176661","0.024265000596642494","ab","17.623634828443052",""
"ZTF22aapubuy","8.6903826","-8.3866897","ztfg","59757.453020799905","44.74494861163782","1","ZTF","","","None","239982360","","","15.244199752807617","0.024265000596642498","ab","20.158599853515625",""
"ZTF22aapubuy","8.6903967","-8.3867385","ztfg","59757.45396990003","37.219712409007016","1","ZTF","","","None","236137711","","","15.220300119640932","0.029170999303460114","ab","17.399807641503507",""
"ZTF22aapubuy","8.6903967","-8.3867385","ztfg","59757.45396990003","37.21989302971146","1","ZTF","","","None","235499640","","","15.22028160773806","0.02917085774242878","ab","17.3997943984743",""
"ZTF22aapubuy","8.6903967","-8.3867385","ztfg","59757.45396990003","37.21989302971146","1","ZTF","","","None","239982361","","","15.220281600952148","0.02917085774242878","ab","20.067176818847656",""
"ZTF22aapubuy","","","ztfr","59758.441990700085","","1","ZTF","","","None","237659122","","","","","ab","19.781600952148438",""
"ZTF22aapubuy","","","ztfr","59758.441990700085","","1","ZTF","","","None","239982362","","","","","ab","19.781600952148438",""
"ZTF22aapubuy","8.6904191","-8.3866987","ztfr","59758.442465300206","29.176260014096886","1","ZTF","","","None","237659123","","","14.68100027969725","0.03721300140023231","ab","16.59614932056958",""
"ZTF22aapubuy","8.6904191","-8.3866987","ztfr","59758.442465300206","29.17625417258921","1","ZTF","","","None","236137712","","","14.680972198955894","0.03721300885081291","ab","16.596121022448173",""
"ZTF22aapubuy","8.6904191","-8.3866987","ztfr","59758.442465300206","29.176254172589207","1","ZTF","","","None","239982363","","","14.6809720993042","0.03721300885081291","ab","19.733049392700195",""
"ZTF22aapubuy","","","ztfr","59758.442465300206","","1","ZTF","","","None","245162928","","","","","ab","19.732999801635742",""
"ZTF22aapubuy","8.6904036","-8.3867095","ztfr","59760.44625000004","37.0672287292053","1","ZTF","","","None","245162929","","","14.595899773888668","0.02929100021719932","ab","16.770950057863324",""
"ZTF22aapubuy","8.6904036","-8.3867095","ztfr","59760.44625000004","37.06769309231237","1","ZTF","","","None","237659124","","","14.595877030343184","0.029290633276104924","ab","16.770940915892513",""
"ZTF22aapubuy","8.6904036","-8.3867095","ztfr","59760.44625000004","37.06769309231237","1","ZTF","","","None","239982364","","","14.595876693725586","0.029290633276104924","ab","20.03853416442871",""
"ZTF22aapubuy","","","ztfi","59762.435300900135","","1","ZTF","","","None","239987606","","","","","ab","19.777700424194336",""
"ZTF22aapubuy","","","ztfi","59762.435300900135","","1","ZTF","","","None","239982365","","","","","ab","19.777700424194336",""
"ZTF22aapubuy","8.6903912","-8.3866999","ztfr","59763.43383099977","34.85957209155845","1","ZTF","","","None","240011595","","","14.65789986261385","0.031145999208092683","ab","16.766279981154554",""
"ZTF22aapubuy","8.6903912","-8.3866999","ztfr","59763.43383099977","34.85928648582717","1","ZTF","","","None","239987607","","","14.657851596441265","0.031146254390478127","ab","16.76622281946965",""
"ZTF22aapubuy","8.6903912","-8.3866999","ztfr","59763.43383099977","34.85928648582716","1","ZTF","","","None","239982366","","","14.657851219177246","0.03114625439047813","ab","20.145544052124023",""
"ZTF22aapubuy","8.6904087","-8.3867543","ztfg","59763.45913190022","41.712559157350455","1","ZTF","","","None","241220646","","","15.26010054487514","0.026029000058770173","ab","17.563342622999986",""
"ZTF22aapubuy","8.6904087","-8.3867543","ztfg","59763.45913190022","41.71209947755886","1","ZTF","","","None","240011596","","","15.26007605403866","0.026029286906123158","ab","17.563306167092254",""
"ZTF22aapubuy","8.6904087","-8.3867543","ztfg","59763.45913190022","41.71209947755885","1","ZTF","","","None","239982367","","","15.260075569152832","0.02602928690612316","ab","20.164508819580078",""
"ZTF22aapubuy","8.690418","-8.386725","ztfg","59765.4250810002","47.47217751281506","1","ZTF","","","None","241244339","","","15.319800471821914","0.022871000692248344","ab","17.763473343317088",""
"ZTF22aapubuy","8.690418","-8.386725","ztfg","59765.4250810002","47.47213885086477","1","ZTF","","","None","241220647","","","15.319755778723403","0.022871019318699837","ab","17.763427765980726",""
"ZTF22aapubuy","8.690418","-8.386725","ztfg","59765.4250810002","47.47213885086477","1","ZTF","","","None","241210468","","","15.319755554199219","0.022871019318699837","ab","20.20183563232422",""
"ZTF22aapubuy","8.690387","-8.3866918","ztfr","59765.45343750017","42.059655887322855","1","ZTF","","","None","241244340","","","14.73270371995182","0.025814196094870567","ab","17.04494299703174",""
"ZTF22aapubuy","8.690387","-8.3866918","ztfr","59765.45343750017","42.059655887322855","1","ZTF","","","None","241284379","","","14.73270320892334","0.025814196094870567","ab","20.376428604125977",""
"ZTF22aapubuy","8.690387","-8.3866918","ztfr","59765.45343750017","42.059974548991214","1","ZTF","","","None","241698741","","","14.732700752056289","0.025814000517129898","ab","17.04494825509984",""
"ZTF22aapubuy","8.6903884","-8.3867215","ztfg","59766.437384299934","31.005975573528755","1","ZTF","","","None","242581709","","","15.303500448068204","0.03501699864864348","ab","17.284688938629962",""
"ZTF22aapubuy","8.6903884","-8.3867215","ztfg","59766.437384299934","31.00580404848307","1","ZTF","","","None","241698742","","","15.303475441199497","0.03501719236373901","ab","17.28465792545235",""
"ZTF22aapubuy","8.6903884","-8.3867215","ztfg","59766.437384299934","31.005804048483068","1","ZTF","","","None","241710264","","","15.303475379943848","0.035017192363739014","ab","20.318742752075195",""
"ZTF22aapubuy","","","sdssg","59767.448018500116","","2","SEDM","","","SEDM_FPIPE_SDSS","241790627","","","","","ab","17",""
"ZTF22aapubuy","","","sdssi","59767.45203150017","14.659508071601264","2","SEDM","","","SEDM_FPIPE_SDSS","241790635","","","14.395131978054055","0.07406361792326734","ab","15.563005459591105",""
"ZTF22aapubuy","8.6904012","-8.3867058","ztfg","59769.42150459997","40.12922214253323","1","ZTF","","","None","242998695","","","15.314900398495785","0.027055999264121052","ab","17.57612724148326",""
