###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59818.501614  15.599  0.012  2092   26 o  0   1.25   8.69039  -8.38667  4398.49  5480.41 3.00 2.79  32.7 -0.422 19.31 20.81 01a59818o0568o
59818.523587  15.601  0.011  2088   22 o  0   2.19   8.69039  -8.38667  6115.30  5198.55 3.01 2.77  33.9 -0.421 19.30 20.77 01a59818o0615o
59819.163791  15.787  0.012  1759   21 c  0   2.81   8.69039  -8.38667   396.89  3692.56 2.50 1.91  41.6 -0.376 19.66 21.46 04a59819o0446c
59819.184067  15.844  0.011  1668   19 c  0   6.30   8.69039  -8.38667   374.08  3652.13 2.47 1.90  47.4 -0.378 19.73 21.58 04a59819o0490c
59819.210269  15.816  0.011  1712   19 c  0   4.07   8.69039  -8.38667   438.63  3727.80 2.45 1.89  48.1 -0.381 19.73 21.65 04a59819o0547c
59819.219774  15.829  0.011  1693   19 c  0   6.63   8.69039  -8.38667   460.26  3608.96 2.45 1.88  48.8 -0.386 19.74 21.67 04a59819o0567c
59820.505894  15.760  0.011  1804   20 c  0   3.01   8.69039  -8.38667  6419.41  9019.04 2.62 2.38  34.3 -0.406 19.58 21.36 02a59820o0616c
59820.509067  15.794  0.012  1748   21 c  0   2.52   8.69039  -8.38667  6438.32  9059.67 2.65 2.42  35.3 -0.400 19.57 21.35 02a59820o0623c
59820.519161  15.800  0.011  1738   18 c  0   2.99   8.69039  -8.38667  4191.69  1577.55 2.47 2.31  65.3 -0.412 19.53 21.34 02a59820o0644c
59820.544605  15.764  0.011  1797   19 c  0   2.70   8.69039  -8.38667  4212.05  1462.37 2.45 2.28  60.3 -0.421 19.53 21.33 02a59820o0696c
59822.532900  15.561  0.011  2166   25 o  0   1.24   8.69039  -8.38667  6171.76  5120.59 3.25 2.95  40.4 -0.404 19.26 20.81 01a59822o0678o
59822.537036  15.574  0.011  2141   24 o  0   1.86   8.69039  -8.38667  6193.80  5159.31 3.12 2.81  39.4 -0.417 19.31 20.80 01a59822o0687o
59822.564383  15.557  0.012  2173   27 o  0   1.10   8.69039  -8.38667  6137.34  5086.49 3.32 3.01  43.9 -0.400 19.18 20.70 01a59822o0746o
59822.592748  15.538  0.012  2212   26 o  0   1.60   8.69039  -8.38667  6125.57  5207.58 3.35 3.06  46.5 -0.398 19.13 20.60 01a59822o0807o
59823.296722  15.765  0.012  1796   21 c  0   9.33   8.69039  -8.38667 10227.45  6921.37 2.88 2.12 -13.4 -0.429 19.72 21.60 04a59823o0539c
59823.299884  15.775  0.011  1778   20 c  0   8.98   8.69039  -8.38667 10248.00  6957.78 2.85 2.12 -15.5 -0.430 19.73 21.59 04a59823o0546c
59823.326459  15.797  0.011  1743   19 c  0  11.84   8.69039  -8.38667 10197.48  6858.51 2.79 2.21 -13.5 -0.418 19.70 21.45 04a59823o0604c
59823.329622  15.888  0.015  1602   24 c  0  13.64   8.69039  -8.38667    58.18  6901.47 2.57 2.09  73.1 -0.382 19.68 21.47 04a59823o0611c
59823.332784  15.777  0.013  1776   23 c  0   4.68   8.69039  -8.38667 10179.04  6970.13 2.82 2.21 -21.9 -0.421 19.66 21.41 04a59823o0618c
59823.333234  15.847  0.016  1665   27 c  0   4.39   8.69039  -8.38667    78.35  6936.96 2.63 2.09  72.6 -0.370 19.65 21.46 04a59823o0619c
59824.555115  15.846  0.010  1666   17 c  0   4.42   8.69039  -8.38667  4163.84  1546.43 2.48 2.29  58.4 -0.417 19.57 21.37 02a59824o0728c
59824.589402  15.838  0.011  1678   19 c  0   1.81   8.69039  -8.38667  4141.00  1508.71 2.47 2.35  66.7 -0.420 19.59 21.47 02a59824o0803c
59824.617898  15.851  0.011  1658   19 c  0   2.42   8.69039  -8.38667  4200.70  1588.51 2.46 2.36  75.0 -0.417 19.55 21.37 02a59824o0865c
59824.980941  15.575  0.010  2139   22 o  0   1.93   8.69039  -8.38667  2442.14  7337.01 2.65 2.42 -53.5 -0.394 19.56 21.20 03a59825o0097o
59824.982781  15.602  0.010  2085   22 o  0   2.06   8.69039  -8.38667  2422.97  7298.07 2.60 2.41 -54.5 -0.395 19.57 21.18 03a59825o0101o
59824.985935  15.611  0.010  2069   21 o  0   2.98   8.69039  -8.38667  2478.75  7377.18 2.45 2.29 -49.8 -0.398 19.64 21.20 03a59825o0108o
59825.004106  15.608  0.011  2074   22 o  0   2.71   8.69039  -8.38667  2496.86  7267.44 2.47 2.26 -45.5 -0.400 19.59 21.10 03a59825o0148o
59826.458276  15.650  0.011  1995   22 o  0   2.39   8.69039  -8.38667  4655.24  9323.03 2.99 2.85  27.9 -0.427 19.30 20.82 01a59826o0531o
59826.460099  15.680  0.011  1942   22 o  0   1.90   8.69039  -8.38667  4635.43  9284.11 2.99 2.82  38.3 -0.427 19.29 20.81 01a59826o0535o
59826.483232  15.639  0.013  2015   26 o  0   1.23   8.69039  -8.38667  4697.88  9353.76 2.98 2.79  36.6 -0.439 19.31 20.76 01a59826o0584o
59826.487332  15.651  0.012  1993   24 o  0   2.00   8.69039  -8.38667  4716.12  9235.20 2.94 2.71  37.1 -0.438 19.31 20.74 01a59826o0593o
59828.946141  15.727  0.012  1859   21 o  0   3.78   8.69039  -8.38667  2447.17  7337.18 2.20 2.00 -63.0 -0.402 19.13 19.76 03a59829o0505o
59828.951643  15.716  0.013  1877   24 o  0   1.83   8.69039  -8.38667  2425.68  7299.14 2.29 2.04 -58.2 -0.394 19.10 19.74 03a59829o0517o
59828.955712  15.722  0.013  1867   24 o  0   2.55   8.69039  -8.38667  2481.19  7378.51 2.26 2.05 -58.0 -0.397 19.12 19.78 03a59829o0526o
59828.961147  15.698  0.013  1909   25 o  0   2.92   8.69039  -8.38667  2501.47  7263.80 2.24 2.05 -54.1 -0.400 19.13 19.80 03a59829o0538o
59829.124062  15.793  0.021  1748   37 o  0   1.23   8.69039  -8.38667   699.52  9526.24 3.59 2.94  84.7 -0.279 18.52 19.46 04a59829o0328o
59830.390432  15.821  0.020  1704   34 o  0   1.23   8.69039  -8.38667  4646.44  9333.60 3.21 2.92  44.8 -0.416 18.47 19.11 01a59830o0348o
59830.393624  15.767  0.020  1792   36 o  0   1.13   8.69039  -8.38667  4628.17  9293.30 3.22 3.01  41.5 -0.423 18.47 19.13 01a59830o0355o
59830.416751  15.834  0.021  1684   36 o  0   1.10   8.69039  -8.38667  4692.50  9367.01 3.96 3.34   5.0 -0.367 18.33 19.22 01a59830o0404o
59830.420858  15.594  0.107  2102  225 o  0   0.33   8.69039  -8.38667  4713.09  9249.30 3.16 2.99  31.3 -0.422 18.52 19.25 01a59830o0413o
59831.010202  15.769  0.019  1788   34 o  0   2.05   8.69039  -8.38667  8004.32  3159.91 2.07 1.94 -45.4 -0.487 18.53 18.56 03a59831o0624o
59831.015900  15.809  0.021  1724   36 o  0   2.00   8.69039  -8.38667  8021.12  3201.37 2.12 2.06 -21.2 -0.491 18.48 18.59 03a59831o0632o
59831.049676  15.772  0.019  1784   34 o  0   1.70   8.69039  -8.38667  7950.06  3124.60 2.24 2.00 -52.2 -0.450 18.44 18.56 03a59831o0701o
59831.052706  15.789  0.021  1755   38 o  0   1.07   8.69039  -8.38667  7924.58  3240.04 2.37 2.11 -50.1 -0.443 18.37 18.55 03a59831o0707o
59836.567524  15.753  0.016  1815   29 o  0   2.61   8.69039  -8.38667  2327.27  3579.32 2.44 1.93  34.8 -0.443 18.89 19.39 02a59836o0556o
59836.570967  15.750  0.016  1819   28 o  0   2.26   8.69039  -8.38667  2308.54  3540.54 2.40 1.94  35.2 -0.442 18.89 19.38 02a59836o0563o
59836.576422  15.766  0.015  1794   27 o  0   2.37   8.69039  -8.38667  2367.36  3618.66 2.50 1.99  33.8 -0.433 18.86 19.36 02a59836o0574o
59836.587292  15.722  0.014  1867   25 o  0   3.73   8.69039  -8.38667  2388.31  3503.24 2.56 2.04  35.7 -0.428 18.78 19.30 02a59836o0596o
59836.998423  15.734  0.015  1847   28 o  0   2.22   8.69039  -8.38667  4260.68  7119.38 2.27 2.02 -52.7 -0.404 18.83 19.32 03a59837o0616o
59837.003897  15.755  0.017  1812   30 o  0   1.74   8.69039  -8.38667  4276.55  7160.05 2.30 2.00 -47.1 -0.397 18.77 19.22 03a59837o0628o
59837.007050  15.742  0.018  1834   34 o  0   1.43   8.69039  -8.38667  4218.54  7081.39 2.29 1.97 -49.3 -0.400 18.61 19.04 03a59837o0635o
59837.017478  15.801  0.017  1736   29 o  0   2.37   8.69039  -8.38667  4191.85  7197.98 2.29 2.02 -51.2 -0.398 18.69 19.17 03a59837o0658o
59838.478215  15.788  0.012  1758   22 o  0   2.42   8.69039  -8.38667  1453.86  5044.04 2.10 2.03 -46.4 -0.462 19.48 20.34 01a59838o0572o
59838.481015  15.776  0.013  1776   23 o  0   2.10   8.69039  -8.38667  1474.83  5083.47 2.19 2.11 -50.6 -0.458 19.43 20.33 01a59838o0578o
59838.486436  15.790  0.012  1754   20 o  0   2.18   8.69039  -8.38667  1416.43  5005.94 2.16 2.08 -49.3 -0.451 19.44 20.32 01a59838o0589o
59838.521718  15.800  0.013  1738   22 o  0   1.38   8.69039  -8.38667  1405.19  5124.81 2.22 2.16 -59.2 -0.443 19.38 20.25 01a59838o0664o
59839.234339  15.551  0.178  2185  388 o  0   1.48   8.69039  -8.38667  7962.39  1208.63 3.27 2.82 -22.0 -0.378 15.68 17.16 04a59839o0565o
59839.269954  15.865  0.140  1637  228 o  0   1.05   8.69039  -8.38667  7998.83  1213.15 2.72 2.11 -24.5 -0.386 16.50 17.30 04a59839o0643o
59839.273113  15.836  0.116  1681  194 o  0   1.37   8.69039  -8.38667  7940.70  1132.51 2.66 2.17 -24.9 -0.385 16.28 17.10 04a59839o0650o
59839.278524  15.527  0.151  2234  337 o  0   0.95   8.69039  -8.38667  7921.95  1245.31 2.77 2.21 -23.6 -0.379 15.89 16.58 04a59839o0662o
59840.469684  15.832  0.013  1687   22 o  0   4.48   8.69039  -8.38667  2323.23  3575.99 2.31 1.98  30.0 -0.445 19.40 20.60 02a59840o0433o
59840.472866  15.840  0.013  1676   21 o  0   2.14   8.69039  -8.38667  2304.10  3537.43 2.39 2.06  33.5 -0.444 19.39 20.60 02a59840o0440o
59840.478289  15.834  0.014  1685   23 o  0   2.58   8.69039  -8.38667  2361.71  3615.58 2.37 2.02  33.2 -0.443 19.34 20.59 02a59840o0452o
59840.488558  15.808  0.011  1725   20 o  0   7.48   8.69039  -8.38667  2383.72  3501.94 2.33 1.91  34.6 -0.449 19.44 20.58 02a59840o0474o
59842.420470  16.122  0.016  1292   20 c  0   2.31   8.69039  -8.38667   639.60  1692.06 3.08 2.79  47.1 -0.327 19.37 21.35 01a59842o0457c
59842.422318  16.123  0.017  1290   22 c  0   1.70   8.69039  -8.38667   619.94  1653.08 3.08 2.79  49.3 -0.333 19.39 21.36 01a59842o0461c
59842.425087  16.103  0.015  1315   20 c  0   2.39   8.69039  -8.38667   679.85  1732.20 3.13 2.82  38.3 -0.326 19.38 21.38 01a59842o0467c
59842.430172  16.115  0.015  1300   20 c  0   1.97   8.69039  -8.38667   698.32  1614.29 3.12 2.82  49.0 -0.324 19.38 21.39 01a59842o0478c
59843.157752  15.873  0.013  1625   22 o  0   2.71   8.69039  -8.38667  4520.13  7378.31 2.41 2.03 -76.4 -0.417 19.37 20.94 04a59843o0285o
59843.160513  15.895  0.013  1592   21 o  0   3.40   8.69039  -8.38667  4502.50  7339.23 2.22 1.87 -83.3 -0.403 19.53 20.97 04a59843o0291o
59843.165993  15.914  0.012  1564   18 o  0   5.99   8.69039  -8.38667  4562.12  7416.37 2.26 1.85 -84.2 -0.410 19.48 20.99 04a59843o0303o
59843.175820  15.897  0.013  1589   20 o  0   6.66   8.69039  -8.38667  4585.78  7297.82 2.30 1.98 -82.5 -0.407 19.48 21.01 04a59843o0324o
59844.412873  15.903  0.014  1581   22 o  0   2.26   8.69039  -8.38667  6310.26  7067.56 2.43 1.93  32.0 -0.433 19.44 20.60 02a59844o0452o
59844.414681  15.916  0.013  1562   20 o  0   5.57   8.69039  -8.38667  6329.81  7105.56 2.48 1.97  31.7 -0.434 19.44 20.61 02a59844o0456o
59844.436509  15.916  0.014  1562   22 o  0   3.23   8.69039  -8.38667  6274.70  7030.20 2.51 1.96  31.0 -0.429 19.44 20.53 02a59844o0502o
59844.441933  15.888  0.015  1603   24 o  0   1.74   8.69039  -8.38667  6256.00  7146.77 2.47 1.95  32.5 -0.434 19.46 20.51 02a59844o0514o
59846.506352 -16.471  0.691  -937  648 c  0   1.26   8.69039  -8.38667  9946.21  9017.19 3.03 2.98  36.6 -0.464 15.13 16.96 01a59846o0637c
59846.546535  16.125  0.113  1288  146 c  0   1.19   8.69039  -8.38667  9910.33  8983.07 3.01 2.99  75.3 -0.472 16.70 18.44 01a59846o0722c
59846.553028  15.792  0.078  1750  137 c  0   1.11   8.69039  -8.38667  9893.92  9103.20 3.04 2.99 -74.2 -0.485 16.76 18.47 01a59846o0735c
59848.416892  15.828  0.014  1694   23 o  0   1.47   8.69039  -8.38667  6309.55  7067.34 2.35 1.99  31.7 -0.435 19.43 20.56 02a59848o0459o
59848.418706  15.819  0.012  1708   21 o  0   2.12   8.69039  -8.38667  6329.21  7107.08 2.36 1.93  30.6 -0.434 19.49 20.55 02a59848o0463o
59848.421869  15.833  0.013  1686   22 o  0   1.89   8.69039  -8.38667  6271.28  7029.77 2.52 2.20  28.7 -0.433 19.32 20.54 02a59848o0470o
59848.442546  15.815  0.014  1714   24 o  0   1.46   8.69039  -8.38667  6254.08  7148.29 2.35 1.98  32.2 -0.438 19.44 20.50 02a59848o0513o
59849.032812  16.017  0.014  1424   20 c  0   1.30   8.69039  -8.38667 10045.33  7006.18 2.47 2.22 -51.8 -0.373 19.76 21.57 03a59849o0661c
59849.035966  16.035  0.012  1400   17 c  0   2.38   8.69039  -8.38667 10063.94  7045.20 2.47 2.15 -58.0 -0.379 19.78 21.54 03a59849o0668c
59849.041879  16.028  0.012  1409   17 c  0   2.53   8.69039  -8.38667 10007.91  6964.97 2.41 2.16 -54.7 -0.380 19.75 21.52 03a59849o0681c
59849.065702  16.060  0.013  1368   18 c  0   1.72   8.69039  -8.38667  9988.51  7077.19 2.45 2.13 -56.8 -0.376 19.72 21.50 03a59849o0730c
59850.407075  16.138  0.014  1273   18 c  0   1.02   8.69039  -8.38667  6926.51  1925.07 2.98 2.86  26.6 -0.380 19.70 21.52 01a59850o0438c
59850.408921  16.084  0.012  1338   16 c  0   2.10   8.69039  -8.38667  6908.97  1887.47 2.93 2.79  21.8 -0.388 19.70 21.53 01a59850o0442c
59850.413618  16.128  0.013  1285   17 c  0   1.67   8.69039  -8.38667  6965.30  1962.30 2.94 2.80  25.5 -0.382 19.71 21.55 01a59850o0452c
59850.418740  16.105  0.013  1312   17 c  0   1.79   8.69039  -8.38667  6985.12  1844.15 2.90 2.79  37.6 -0.396 19.74 21.53 01a59850o0463c
59851.151885  15.867  0.011  1633   19 o  0   9.77   8.69039  -8.38667  4176.52  1568.54 2.02 1.88  45.3 -0.450 19.57 21.00 04a59851o0396o
59851.154586  15.855  0.012  1653   21 o  0   7.33   8.69039  -8.38667  4159.14  1528.86 1.93 1.86  36.1 -0.421 19.57 20.98 04a59851o0402o
59851.160024  15.868  0.015  1632   24 o  0   4.54   8.69039  -8.38667  4220.77  1606.08 1.87 1.80  16.0 -0.421 19.58 20.97 04a59851o0414o
59851.182232  15.884  0.015  1609   24 o  0   5.48   8.69039  -8.38667  4253.91  1486.23 1.78 1.76  -8.3 -0.429 19.57 20.94 04a59851o0462o
59852.908521  16.130  0.013  1283   17 c  0   3.24   8.69039  -8.38667   371.24  3501.34 2.32 2.17 -55.0 -0.382 19.75 21.46 03a59853o0390c
59852.910323  16.105  0.013  1312   18 c  0   3.62   8.69039  -8.38667 10522.97  3732.43 2.39 2.13 -55.9 -0.363 19.73 21.46 03a59853o0394c
59852.912127  16.095  0.013  1324   17 c  0   3.84   8.69039  -8.38667   350.28  3461.95 2.37 2.16 -58.5 -0.384 19.72 21.46 03a59853o0398c
59852.913480  16.057  0.013  1371   18 c  0   2.98   8.69039  -8.38667 10503.22  3694.04 2.43 2.24 -56.9 -0.377 19.73 21.46 03a59853o0401c
59852.922970  16.135  0.014  1277   18 c  0   2.28   8.69039  -8.38667   403.84  3543.08 2.44 2.22 -56.6 -0.384 19.73 21.44 03a59853o0422c
59852.932561  16.153  0.013  1255   16 c  0   4.11   8.69039  -8.38667   424.20  3429.12 2.38 2.18 -58.3 -0.385 19.71 21.45 03a59853o0443c
59854.484804  16.245  0.014  1153   16 c  0   1.69   8.69039  -8.38667  3661.04  8819.10 3.17 2.93  67.6 -0.325 19.59 21.34 01a59854o0610c
59854.494681  16.217  0.015  1184   18 c  0   1.30   8.69039  -8.38667  3679.95  8858.85 3.13 2.92  70.5 -0.326 19.57 21.29 01a59854o0631c
59854.522912  16.193  0.014  1210   17 c  0   1.29   8.69039  -8.38667  3625.10  8783.73 3.19 3.01  66.1 -0.322 19.51 21.21 01a59854o0691c
59854.532524  16.191  0.015  1212   18 c  0   1.53   8.69039  -8.38667  3606.88  8901.29 3.58 3.11  62.1 -0.274 19.40 21.14 01a59854o0711c
59855.230281  15.984  0.014  1466   21 o  0   5.19   8.69039  -8.38667  6459.73  9015.53 2.43 1.99 -66.8 -0.401 19.34 20.54 04a59855o0564o
59855.233364  15.947  0.015  1518   23 o  0   3.74   8.69039  -8.38667  6479.24  9052.18 2.39 1.99 -66.7 -0.415 19.37 20.54 04a59855o0570o
59855.268304  15.816  0.014  1712   25 o  0   7.29   8.69039  -8.38667  6430.07  8951.55 2.41 1.94 -69.2 -0.427 19.46 20.74 04a59855o0646o
59855.296581  16.010  0.015  1432   22 o  0   3.73   8.69039  -8.38667  6411.20  9052.52 2.55 2.05 -74.8 -0.403 19.35 20.63 04a59855o0707o
59855.873376  16.037  0.095  1397  132 o  0   1.34   8.69039  -8.38667   534.79  9328.58 2.58 2.26 -51.7 -0.438 16.18 16.64 03a59856o0306o
59855.875656  15.966  0.077  1491  115 o  0   0.76   8.69039  -8.38667   516.33  9288.94 2.56 2.31 -49.8 -0.446 16.89 17.44 03a59856o0311o
59855.894026  16.020  0.036  1419   51 o  0   1.02   8.69039  -8.38667   570.92  9371.25 2.68 2.35 -43.1 -0.431 17.87 18.42 03a59856o0349o
59855.899024  16.050  0.036  1380   49 o  0   1.50   8.69039  -8.38667   592.22  9255.46 2.76 2.38 -47.2 -0.418 18.09 18.78 03a59856o0360o
59856.868922  16.023  0.020  1415   28 o  0   1.90   8.69039  -8.38667   528.41  9330.20 2.64 2.38 -55.5 -0.428 19.06 19.81 03a59857o0310o
59856.870732  16.096  0.021  1324   27 o  0   2.10   8.69039  -8.38667   509.64  9291.35 2.66 2.33 -46.9 -0.418 19.09 19.84 03a59857o0314o
59856.874799  16.016  0.017  1424   25 o  0   3.07   8.69039  -8.38667   566.41  9371.02 2.67 2.33 -51.0 -0.430 19.08 19.85 03a59857o0323o
59856.880240  16.032  0.018  1403   25 o  0   2.30   8.69039  -8.38667   588.95  9254.59 2.60 2.27 -58.0 -0.420 19.09 19.87 03a59857o0335o
59858.109872  15.939  0.021  1529   32 o  0   1.38   8.69039  -8.38667  2464.13  5541.70 2.42 2.11  80.7 -0.389 18.49 18.96 04a59858o0257o
59858.112575  15.969  0.021  1488   31 o  0   1.36   8.69039  -8.38667  2445.54  5501.95 2.27 1.94  80.3 -0.387 18.56 18.97 04a59858o0263o
59858.133077  15.935  0.018  1534   28 o  0   2.09   8.69039  -8.38667  2515.30  5577.08 2.31 1.95  80.6 -0.384 18.54 18.85 04a59858o0306o
59858.151221  15.966  0.021  1491   32 o  0   0.99   8.69039  -8.38667  2546.39  5457.85 2.34 2.13  89.4 -0.380 18.52 19.05 04a59858o0345o
59858.436355  15.917  0.015  1560   23 o  0   1.41   8.69039  -8.38667  9635.88  3180.36 2.52 2.33 -57.8 -0.429 18.95 19.49 01a59858o0356o
59858.439587  15.941  0.016  1526   24 o  0   1.39   8.69039  -8.38667  9656.90  3219.93 2.48 2.29 -60.1 -0.429 18.97 19.50 01a59858o0363o
59858.467158  15.957  0.018  1504   27 o  0   1.32   8.69039  -8.38667  9601.74  3144.70 2.37 2.22 -61.0 -0.445 18.86 19.23 01a59858o0419o
59858.475337  15.968  0.021  1488   31 o  0   1.24   8.69039  -8.38667  9583.00  3263.47 2.34 2.20 -66.5 -0.444 18.74 19.09 01a59858o0436o
59864.413231  16.105  0.024  1312   31 o  0   1.55   8.69039  -8.38667   267.31  1706.94 1.86 1.76 -60.8 -0.489 18.57 19.04 02a59864o0474o
59864.416399  16.018  0.018  1422   26 o  0   3.15   8.69039  -8.38667   248.59  1667.96 1.88 1.77 -57.6 -0.493 18.83 19.35 02a59864o0481o
59864.422286  16.090  0.018  1331   24 o  0   2.27   8.69039  -8.38667   308.28  1747.11 1.88 1.76 -61.7 -0.489 18.81 19.35 02a59864o0494o
59864.425914  16.092  0.022  1328   30 o  0   1.96   8.69039  -8.38667 10478.54  1727.05 2.04 1.61 -60.9 -0.507 18.83 19.34 02a59864o0502o
59864.429080  16.077  0.019  1346   26 o  0   2.88   8.69039  -8.38667 10460.40  1689.06 2.01 1.59 -61.2 -0.549 18.84 19.33 02a59864o0509o
59864.432245  16.038  0.020  1396   28 o  0   1.35   8.69039  -8.38667   329.09  1631.05 1.89 1.77 -56.2 -0.490 18.84 19.36 02a59864o0516o
59864.434956  16.032  0.065  1403   91 o  0   0.90   8.69039  -8.38667 10519.06  1766.81 2.08 1.62 -61.8 -0.525 18.77 19.35 02a59864o0522o
59866.424983  16.125  0.022  1288   28 o  0   1.15   8.69039  -8.38667  6492.21  7250.22 2.53 2.37  49.8 -0.380 18.86 19.66 01a59866o0441o
59866.428217  16.129  0.022  1283   28 o  0   1.57   8.69039  -8.38667  6513.05  7289.28 2.45 2.29  48.2 -0.388 18.42 19.20 01a59866o0448o
59866.433762  16.167  0.021  1239   26 o  0   1.34   8.69039  -8.38667  6455.37  7212.45 2.50 2.36  53.7 -0.379 18.84 19.44 01a59866o0460o
59866.444152  16.178  0.063  1227   77 o  0   0.74   8.69039  -8.38667  6437.19  7329.10 2.45 2.32  47.0 -0.379 17.20 17.36 01a59866o0482o
59868.401903  16.197  0.018  1205   22 o  0   2.47   8.69039  -8.38667  6298.40  5336.36 2.64 1.95  37.0 -0.432 19.28 20.19 02a59868o0453o
59868.405066  16.197  0.017  1206   20 o  0   4.21   8.69039  -8.38667  6279.56  5298.08 2.65 1.95  37.0 -0.433 19.28 20.20 02a59868o0460o
59868.410952  16.200  0.018  1202   22 o  0   3.00   8.69039  -8.38667  6338.08  5376.93 2.64 1.96  37.0 -0.430 19.27 20.25 02a59868o0473o
59868.425080  16.189  0.017  1214   21 o  0   2.70   8.69039  -8.38667  6361.53  5262.69 2.59 1.96  38.2 -0.433 19.34 20.33 02a59868o0503o
59870.389047  16.122  0.013  1291   17 o  0   2.08   8.69039  -8.38667  6503.96  7249.36 2.34 2.27  29.3 -0.406 19.57 20.60 01a59870o0365o
59870.391858  16.075  0.015  1349   20 o  0   1.50   8.69039  -8.38667  6524.37  7288.43 2.34 2.30  14.5 -0.407 19.59 20.60 01a59870o0371o
59870.396977  16.128  0.013  1285   17 o  0   2.66   8.69039  -8.38667  6467.48  7212.44 2.34 2.27  44.9 -0.405 19.57 20.63 01a59870o0382o
59870.431382  16.108  0.016  1308   20 o  0   1.62   8.69039  -8.38667  6450.42  7331.28 2.42 2.31  55.9 -0.401 19.54 20.57 01a59870o0455o
59871.183751  16.342  0.018  1055   19 c  0   2.33   8.69039  -8.38667  8286.80  6989.80 2.89 2.53 -28.1 -0.373 19.39 21.30 04a59871o0440c
59871.189257  16.250  0.016  1148   18 c  0   2.93   8.69039  -8.38667  8306.90  7024.76 2.96 2.52 -24.2 -0.372 19.40 21.27 04a59871o0452c
59871.219793  16.235  0.015  1164   18 c  0   3.00   8.69039  -8.38667  8255.48  6927.99 2.63 2.25 -30.8 -0.398 19.49 21.22 04a59871o0518c
59871.222944  16.268  0.017  1129   19 c  0   2.33   8.69039  -8.38667  8236.57  7042.30 2.69 2.28 -27.9 -0.402 19.45 21.24 04a59871o0525c
59872.381529  16.281  0.016  1116   18 c  0   2.18   8.69039  -8.38667  6294.36  5333.53 2.63 2.32  34.0 -0.405 19.59 21.32 02a59872o0418c
59872.416148  16.255  0.016  1143   18 c  0   1.56   8.69039  -8.38667  6271.25  5295.10 2.56 2.36  40.3 -0.406 19.60 21.31 02a59872o0493c
59872.419312  16.243  0.016  1155   19 c  0   1.73   8.69039  -8.38667  6331.05  5373.85 2.59 2.37  40.7 -0.401 19.61 21.33 02a59872o0500c
59872.429256  16.280  0.015  1117   17 c  0   1.49   8.69039  -8.38667  6353.06  5258.64 2.60 2.36  44.4 -0.399 19.57 21.34 02a59872o0522c
59872.886744  16.096  0.018  1323   24 o  0   1.22   8.69039  -8.38667  6068.64  3217.14 3.15 2.90 -46.9 -0.425 19.26 21.19 03a59873o0326o
59872.889924  16.086  0.017  1335   23 o  0   1.81   8.69039  -8.38667  6084.94  3256.09 2.90 2.72 -51.1 -0.407 19.22 21.10 03a59873o0333o
59872.895793  16.112  0.016  1303   21 o  0   1.59   8.69039  -8.38667  6025.60  3177.37 2.92 2.70 -45.4 -0.406 19.29 21.18 03a59873o0346o
59872.930818  16.160  0.044  1248   55 o  0   0.58   8.69039  -8.38667  5993.55  3298.91 3.79 3.51 -51.4 -0.392 18.76 20.84 03a59873o0421o
59874.444512  16.139  0.014  1271   18 o  0   1.74   8.69039  -8.38667  4144.10  3383.40 2.59 2.44  34.8 -0.393 19.52 20.84 01a59874o0376o
59874.450060  16.155  0.015  1253   18 o  0   1.37   8.69039  -8.38667  4163.98  3421.97 2.43 2.27  45.2 -0.412 19.59 20.83 01a59874o0388o
59874.452838  16.162  0.015  1245   19 o  0   1.77   8.69039  -8.38667  4106.45  3344.84 2.59 2.43  37.1 -0.398 19.50 20.79 01a59874o0394o
59874.463477  16.143  0.015  1267   19 o  0   2.08   8.69039  -8.38667  4090.31  3462.15 2.48 2.34  45.8 -0.405 19.50 20.71 01a59874o0417o
59875.162385  16.313  0.015  1084   17 c  0   3.12   8.69039  -8.38667  6344.96  7088.74 2.29 2.03 -40.0 -0.399 19.64 21.45 04a59875o0390c
59875.166524  16.324  0.016  1073   17 c  0   2.69   8.69039  -8.38667  6364.46  7123.10 2.30 2.03 -37.1 -0.399 19.63 21.45 04a59875o0399c
59875.191816  16.320  0.014  1077   15 c  0   4.17   8.69039  -8.38667  6315.51  7026.72 2.26 2.04 -56.0 -0.401 19.61 21.38 04a59875o0453c
59875.197314  16.320  0.017  1076   18 c  0   2.50   8.69039  -8.38667  6296.82  7138.49 2.20 1.95 -50.5 -0.405 19.63 21.39 04a59875o0465c
59876.383612  16.410  0.017   991   16 c  0   2.07   8.69039  -8.38667  6082.50  1455.44 2.77 2.61 -88.4 -0.406 19.47 21.35 02a59876o0384c
59876.386793  16.347  0.016  1050   17 c  0   2.07   8.69039  -8.38667  6064.24  1421.43 2.64 2.49 -87.1 -0.406 19.49 21.35 02a59876o0391c
59876.392677  16.376  0.016  1022   17 c  0   1.90   8.69039  -8.38667  6122.86  1497.92 2.57 2.42  88.8 -0.408 19.51 21.36 02a59876o0404c
59876.402809  16.344  0.018  1052   19 c  0   1.44   8.69039  -8.38667  6142.79  1382.82 2.64 2.49 -78.9 -0.410 19.54 21.37 02a59876o0426c
59876.881173  16.172  0.017  1234   20 o  0   2.15   8.69039  -8.38667  6064.34  3221.15 2.27 2.03 -54.9 -0.426 19.46 20.79 03a59877o0310o
