###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59768.588545  15.091  0.007  3340   24 c  0   3.54   8.69039  -8.38667  8036.51  3114.36 2.54 2.33  34.0 -0.400 19.60 21.31 02a59768o0730c
59768.606734  15.087  0.008  3350   26 c  0   2.91   8.69039  -8.38667  8055.51  3152.88 2.45 2.36  38.8 -0.403 19.43 21.03 02a59768o0770c
59768.615824  15.089  0.010  3346   35 c  0   2.31   8.69039  -8.38667  7996.96  3074.05 2.51 2.39  26.5 -0.394 18.74 19.88 02a59768o0790c
59769.115302  14.702  0.006  4776   31 o  0   4.04   8.69039  -8.38667  8578.37  3804.63 3.03 2.30   2.2 -0.414 19.24 20.72 03a59769o0775o
59769.125503  14.684  0.007  4859   33 o  0   2.35   8.69039  -8.38667  8555.64  3768.18 4.71 2.60   3.6 -0.382 18.99 20.82 03a59769o0796o
59769.140316  14.707  0.006  4754   30 o  0   3.83   8.69039  -8.38667  8613.39  3849.95 3.17 2.29  -0.2 -0.430 19.29 20.86 03a59769o0827o
59769.145212  14.698  0.007  4794   33 o  0   3.59   8.69039  -8.38667  8630.46  3734.90 3.71 2.34   0.5 -0.399 19.21 20.86 03a59769o0836o
59770.586490  14.703  0.006  4775   30 o  0   3.40   8.69039  -8.38667  5994.67  1446.48 3.18 2.95  14.0 -0.414 19.25 20.81 01a59770o0748o
59770.606603  14.714  0.006  4726   30 o  0   3.74   8.69039  -8.38667  5974.11  1401.82 3.06 2.87   3.5 -0.430 19.26 20.75 01a59770o0792o
59770.610782  14.711  0.007  4737   32 o  0   2.81   8.69039  -8.38667  6034.19  1478.90 3.22 2.94   8.4 -0.423 19.16 20.57 01a59770o0801o
59770.620222  14.734  0.009  4640   41 o  0   1.48   8.69039  -8.38667  6050.12  1356.67 3.49 2.98   5.6 -0.411 18.30 18.97 01a59770o0821o
59772.562711  14.678  0.007  4883   33 o  0   8.39   8.69039  -8.38667  4375.03  7170.03 2.31 1.80  28.3 -0.418 18.95 19.37 02a59772o0688o
59772.565876  14.700  0.007  4786   33 o  0   7.59   8.69039  -8.38667  4393.94  7208.79 2.46 1.93  29.3 -0.408 18.93 19.40 02a59772o0695o
59772.572219  14.666  0.006  4938   32 o  0   4.12   8.69039  -8.38667  4337.19  7131.18 2.29 1.85  24.4 -0.424 18.98 19.45 02a59772o0709o
59772.585408  14.688  0.006  4838   30 o  0  12.12   8.69039  -8.38667  4316.64  7247.08 2.33 1.87  25.3 -0.420 19.08 19.62 02a59772o0738o
59773.092369  14.685  0.008  4854   38 o  0   3.09   8.69039  -8.38667  8589.47  3806.16 2.51 2.33  13.2 -0.450 18.69 19.21 03a59773o0758o
59773.095561  14.675  0.007  4896   33 o  0   4.77   8.69039  -8.38667  8570.10  3768.09 2.80 2.46   3.4 -0.426 18.60 19.21 03a59773o0765o
59773.100515  14.689  0.010  4835   46 o  0   1.28   8.69039  -8.38667  8625.62  3847.29 3.80 2.50   1.7 -0.380 18.47 19.23 03a59773o0776o
59773.107298  14.678  0.008  4882   38 o  0   3.49   8.69039  -8.38667  8647.71  3732.18 2.53 2.30   2.8 -0.440 18.74 19.26 03a59773o0791o
59774.532452  14.748  0.010  4581   44 o  0   1.58   8.69039  -8.38667  5990.52  1455.09 3.11 3.03 -12.0 -0.440 18.33 19.02 01a59774o0629o
59774.538699  14.764  0.009  4511   40 o  0   1.88   8.69039  -8.38667  5973.04  1415.21 3.18 2.99  18.1 -0.430 18.36 19.08 01a59774o0641o
59774.542355  14.749  0.009  4574   42 o  0   1.54   8.69039  -8.38667  6030.78  1491.08 3.36 3.13  -4.9 -0.421 18.33 19.09 01a59774o0649o
59774.552855  14.750  0.009  4570   42 o  0   1.76   8.69039  -8.38667  6049.75  1372.06 3.11 2.95  -2.2 -0.440 18.43 19.15 01a59774o0672o
59775.988814  14.671  0.053  4914  261 o  0   1.12   8.69039  -8.38667  8770.93  9611.31 2.87 2.32 -42.2 -0.404 16.47 16.09 03a59776o0629o
59775.992026  14.759  0.015  4531   67 o  0   1.80   8.69039  -8.38667  8751.39  9572.60 2.72 2.22 -45.1 -0.397 17.73 17.69 03a59776o0636o
59775.997926  14.803  0.013  4354   54 o  0   3.07   8.69039  -8.38667  8809.42  9651.60 2.71 2.13 -41.7 -0.405 18.07 17.99 03a59776o0649o
59776.016458  14.762  0.009  4519   43 o  0   4.33   8.69039  -8.38667  8827.79  9534.24 2.63 2.08 -43.7 -0.408 18.46 18.53 03a59776o0687o
59777.008780  14.747  0.013  4583   60 o  0   1.67   8.69039  -8.38667  8774.55  9608.65 2.79 2.57 -30.0 -0.395 17.97 17.96 03a59777o0696o
59777.011520  14.797  0.012  4379   54 o  0   1.58   8.69039  -8.38667  8753.93  9570.09 2.74 2.44 -40.7 -0.397 18.02 17.96 03a59777o0702o
59777.025992  14.781  0.012  4442   55 o  0   1.93   8.69039  -8.38667  8804.73  9650.19 2.70 2.26 -43.6 -0.399 18.17 18.06 03a59777o0734o
59777.031868  14.804  0.011  4351   49 o  0   2.45   8.69039  -8.38667  8826.85  9533.44 2.56 2.29 -42.2 -0.397 18.19 18.12 03a59777o0747o
59781.107687  14.961  0.007  3765   28 o  0   5.39   8.69039  -8.38667  8752.89  9629.38 2.33 2.20 -39.0 -0.426 19.34 20.35 03a59781o0791o
59781.110563  14.955  0.007  3785   26 o  0  10.39   8.69039  -8.38667  8733.79  9590.53 2.34 2.15 -41.1 -0.418 19.35 20.36 03a59781o0797o
59781.116066  14.972  0.007  3725   27 o  0  11.55   8.69039  -8.38667  8789.44  9671.11 2.35 2.10 -37.3 -0.434 19.38 20.38 03a59781o0809o
59781.132862  14.957  0.008  3776   29 o  0   4.17   8.69039  -8.38667  1652.58   942.06 2.18 1.99 -32.7 -0.442 19.32 20.30 03a59781o0845o
59783.314636  14.945  0.007  3819   28 o  0  10.85   8.69039  -8.38667  2237.75  1662.81 2.36 2.00  41.7 -0.423 19.46 20.94 04a59783o0778o
59783.319684  14.952  0.007  3794   27 o  0  12.41   8.69039  -8.38667  2220.00  1621.37 2.42 1.96  47.6 -0.409 19.48 20.92 04a59783o0789o
59783.323448  14.933  0.007  3862   26 o  0  12.76   8.69039  -8.38667  2280.59  1699.24 2.38 1.94  47.9 -0.409 19.46 20.90 04a59783o0797o
59783.334597  14.943  0.007  3826   28 o  0   8.12   8.69039  -8.38667  2304.63  1581.56 2.32 1.89  47.1 -0.415 19.46 20.90 04a59783o0819o
59784.569932  15.314  0.008  2719   23 c  0   4.56   8.69039  -8.38667  4152.04  3300.51 2.56 2.34  31.4 -0.414 19.54 21.15 02a59784o0716c
59784.573097  15.314  0.008  2720   22 c  0   3.59   8.69039  -8.38667  4170.79  3338.71 2.62 2.39  32.0 -0.408 19.52 21.15 02a59784o0723c
59784.578548  15.292  0.008  2775   22 c  0   4.51   8.69039  -8.38667  4112.18  3261.64 2.53 2.29  35.8 -0.420 19.55 21.16 02a59784o0735c
59784.597137  15.300  0.008  2755   21 c  0   6.89   8.69039  -8.38667  4092.25  3376.07 2.59 2.34  30.5 -0.414 19.53 21.16 02a59784o0776c
59785.064784  15.323  0.008  2697   20 c  0   8.88   8.69039  -8.38667  4334.09  5362.82 2.81 2.33   3.6 -0.373 19.72 21.76 03a59785o0743c
59785.067595  15.310  0.008  2728   20 c  0  11.89   8.69039  -8.38667  4314.76  5324.70 2.54 2.32   4.1 -0.384 19.78 21.79 03a59785o0749c
59785.074410  15.330  0.008  2678   21 c  0   7.75   8.69039  -8.38667  4368.78  5405.41 2.89 2.33   2.8 -0.369 19.73 21.77 03a59785o0764c
59785.104754  15.297  0.008  2761   23 c  0   6.32   8.69039  -8.38667  4380.97  5295.03 2.30 2.24  17.4 -0.403 19.86 21.82 03a59785o0824c
59786.569386  15.028  0.008  3538   27 o  0   3.75   8.69039  -8.38667  8687.92  5658.77 2.90 2.83 -27.5 -0.453 19.35 20.82 01a59786o0724o
59786.572577  15.028  0.008  3538   28 o  0   2.43   8.69039  -8.38667  8668.35  5620.12 2.98 2.87 -32.1 -0.449 19.36 20.85 01a59786o0731o
59786.577131  15.055  0.008  3453   28 o  0   1.96   8.69039  -8.38667  8728.41  5694.69 3.02 2.94 -24.9 -0.444 19.29 20.83 01a59786o0741o
59786.590646  15.036  0.008  3513   27 o  0   2.38   8.69039  -8.38667  8748.46  5576.30 3.06 3.03 -75.2 -0.439 19.31 20.85 01a59786o0770o
59787.382191  15.036  0.007  3512   26 o  0  10.22   8.69039  -8.38667  2069.89  8777.31 2.51 1.93 -84.9 -0.386 19.49 20.90 04a59787o0809o
59787.385888  15.040  0.007  3499   26 o  0  12.95   8.69039  -8.38667  2090.84  8812.28 2.59 1.98 -84.4 -0.379 19.51 20.98 04a59787o0817o
59787.392653  15.021  0.007  3562   25 o  0  11.13   8.69039  -8.38667  2037.15  8727.15 2.51 1.94 -85.2 -0.386 19.51 20.95 04a59787o0831o
59788.557745  15.439  0.009  2424   22 c  0   6.02   8.69039  -8.38667 10192.34  6911.73 2.53 2.48  55.6 -0.416 19.66 21.23 02a59788o0691c
