Wavelength(nm)	T%
934.5		0.004116157
934		0.003849016
933.5		0.003563135
933		0.003742434
932.5		0.004361416
932		0.003861624
931.5		0.00411419
931		0.004143475
930.5		0.004328218
930		0.003140409
929.5		0.003303717
929		0.003692981
928.5		0.003323826
928		0.003710047
927.5		0.003226446
927		0.003513957
926.5		0.003346111
926		0.003552767
925.5		0.003068564
925		0.002744369
924.5		0.003128059
924		0.003192656
923.5		0.00354182
923		0.002657734
922.5		0.00351857
922		0.002719405
921.5		0.003111471
921		0.003001866
920.5		0.00277229
920		0.002677761
919.5		0.002725862
919		0.002353908
918.5		0.002457283
918		0.001869663
917.5		0.001913707
917		0.002609093
916.5		0.002091109
916		0.001852696
915.5		0.002577126
915		0.002040329
914.5		0.001917686
914		0.001892008
913.5		0.002120793
913		0.00211794
912.5		0.001893622
912		0.002183025
911.5		0.002149106
911		0.001684514
910.5		0.002267989
910		0.00203732
909.5		0.002401876
909		0.002025868
908.5		0.002223604
908		0.002119417
907.5		0.001652753
907		0.002044561
906.5		0.002632472
906		0.001873566
905.5		0.002173714
905		0.002844504
904.5		0.002690311
904		0.002278242
903.5		0.002666029
903		0.001932361
902.5		0.002430012
902		0.002439477
901.5		0.001745598
901		0.00285601
900.5		0.002465724
900		0.002269209
899.5		0.00314502
899		0.004989251
898.5		0.004459469
898		0.005051029
897.5		0.004949366
897		0.005071578
896.5		0.004075317
896		0.004394741
895.5		0.005058164
895		0.005305998
894.5		0.005652816
894		0.00622845
893.5		0.005859152
893		0.005702762
892.5		0.006218377
892		0.007123744
891.5		0.006831994
891		0.007442715
890.5		0.007150084
890		0.007299728
889.5		0.008148242
889		0.008652474
888.5		0.008077258
888		0.009289609
887.5		0.008757333
887		0.009509429
886.5		0.010316754
886		0.010204871
885.5		0.011166999
885		0.011537069
884.5		0.012084608
884		0.012390739
883.5		0.012919465
883		0.012946814
882.5		0.013515378
882		0.014075226
881.5		0.013177658
881		0.014460531
880.5		0.014329293
880		0.014735681
879.5		0.01437928
879		0.014644158
878.5		0.014830649
878		0.014441342
877.5		0.014731559
877		0.014252327
876.5		0.013619944
876		0.013683442
875.5		0.013528462
875		0.013317742
874.5		0.013085101
874		0.012501798
873.5		0.011603799
873		0.012152855
872.5		0.011530243
872		0.011606857
871.5		0.01132663
871		0.01057886
870.5		0.010647263
870		0.009929944
869.5		0.00970853
869		0.009524341
868.5		0.009338943
868		0.008995801
867.5		0.00865884
867		0.008679892
866.5		0.008376025
866		0.008076082
865.5		0.007841809
865		0.007656687
864.5		0.007347092
864		0.007489206
863.5		0.007463664
863		0.007226114
862.5		0.007413228
862		0.007094537
861.5		0.007081853
861		0.007070277
860.5		0.007179173
860		0.007122085
859.5		0.007132316
859		0.007235571
858.5		0.007138082
858		0.007556069
857.5		0.007368615
857		0.00747088
856.5		0.007852569
856		0.00784075
855.5		0.008242938
855		0.008439203
854.5		0.008711454
854		0.008862208
853.5		0.009345233
853		0.009649956
852.5		0.010193503
852		0.010622561
851.5		0.011602305
851		0.012361996
850.5		0.013339408
850		0.01435131
849.5		0.015420252
849		0.016949136
848.5		0.018554917
848		0.020621426
847.5		0.022837972
847		0.025186405
846.5		0.028596833
846		0.031994641
845.5		0.035114385
845		0.038306914
844.5		0.040825438
844		0.042696252
843.5		0.042848285
843		0.041465644
842.5		0.039263103
842		0.035553899
841.5		0.031495947
841		0.027352123
840.5		0.023214055
840		0.01973805
839.5		0.016557986
839		0.013850947
838.5		0.011702203
838		0.010005678
837.5		0.008388691
837		0.007251958
836.5		0.006132389
836		0.005473215
835.5		0.004606239
835		0.004287469
834.5		0.003871968
834		0.003110452
833.5		0.00289019
833		0.002538819
832.5		0.002292801
832		0.001973712
831.5		0.001909397
831		0.001772742
830.5		0.001607459
830		0.001665105
829.5		0.001262644
829		0.001358813
828.5		0.001166584
828		0.001059315
827.5		0.001002101
827		0.001008409
826.5		0.000970184
826		0.000780343
825.5		0.00092067
825		0.000879958
824.5		0.000665913
824		0.000661869
823.5		0.000711509
823		0.000768836
822.5		0.000423777
822		0.000580157
821.5		0.000470189
821		0.000397807
820.5		0.000480941
820		0.000295593
819.5		0.000458927
819		0.000335531
818.5		0.000384889
