"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1174","2013-12-24 00:00:00.00","2456650.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-12-24_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3600","8500","1.9490851233095","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1175","2013-12-27 00:00:00.00","2456653.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-12-27_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3328","8533.02","1.9392771982116","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1176","2013-12-28 00:00:00.00","2456654.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2013-12-28_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3600","8500","1.9490851233095","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1177","2013-12-31 00:00:00.00","2456657.5","","Magellan-Clay","LDSS-3","Unknown","Unknown","","Y","","","2013ge_2013-12-31_00-00-00_Magellan-Clay_LDSS-3_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3633.57","9442.38","1.9893184931507","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1178","2014-01-01 00:00:00.00","2456658.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2014-01-01_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8106.3","25011","8.6204487506374","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1179","2014-01-03 00:00:00.00","2456660.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-01-03_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3475","7419.01","1.4694523099851","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1180","2014-01-06 00:00:00.00","2456663.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-01-06_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3474","7416.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1181","2014-01-07 00:00:00.00","2456664.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-01-07_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3478","7420.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1182","2014-01-09 00:00:00.00","2456666.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-01-09_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3472","7414.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1183","2014-01-09 00:00:00.00","2456666.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2014-01-09_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8097.8","25020.1","8.6162423625255","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1184","2014-01-25 00:00:00.00","2456682.5","","Lick-3m","KAST","Unknown","Unknown","","Y","","","2013ge_2014-01-25_00-00-00_Lick-3m_KAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3500","9997.9602","1.0197677652228","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1185","2014-01-28 00:00:00.00","2456685.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-01-28_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3473","7414.07","1.469451901566","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1186","2014-01-30 00:00:00.00","2456687.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-01-30_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3477","7418.07","1.469451901566","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1187","2014-02-02 00:00:00.00","2456690.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-02-02_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3473","7415.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1188","2014-02-02 00:00:00.00","2456690.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2014-02-02_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8200","24959.19773","8.2314330697446","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
