10289.10 0.000000
10290.20 0.000000
10291.20 0.000000
10292.30 0.000000
10293.40 0.000000
10294.40 0.000000
10295.50 0.000000
10296.50 0.000000
10297.60 0.000000
10298.70 0.000000
10299.70 0.000000
10300.80 0.000000
10301.80 0.000000
10302.90 0.000000
10304.00 0.000000
10305.00 0.005531
10306.10 0.010443
10307.20 0.009704
10308.20 0.003147
10309.30 0.000000
10310.30 0.000000
10311.40 0.000000
10312.50 0.000000
10313.50 0.005174
10314.60 0.021434
10315.70 0.032377
10316.70 0.033545
10317.80 0.025034
10318.90 0.013161
10319.90 0.005341
10321.00 0.004101
10322.00 0.008368
10323.10 0.013757
10324.20 0.016141
10325.20 0.016522
10326.30 0.016546
10327.40 0.017524
10328.40 0.019193
10329.50 0.017881
10330.60 0.012422
10331.60 0.005174
10332.70 0.000000
10333.80 0.000000
10334.80 0.000000
10335.90 0.000000
10337.00 0.000000
10338.10 0.000000
10339.10 0.000000
10340.20 0.000000
10341.30 0.000000
10342.30 0.000000
10343.40 0.002718
10344.50 0.010276
10345.50 0.015354
10346.60 0.018907
10347.70 0.019026
10348.80 0.014400
10349.80 0.007892
10350.90 0.002360
10352.00 0.000000
10353.00 0.000286
10354.10 0.000668
10355.20 0.000000
10356.30 0.000000
10357.30 0.000000
10358.40 0.000000
10359.50 0.000000
10360.50 0.001907
10361.60 0.004244
10362.70 0.004244
10363.80 0.003505
10364.80 0.004768
10365.90 0.007558
10367.00 0.008726
10368.10 0.007343
10369.10 0.004005
10370.20 0.000501
10371.30 0.000000
10372.40 0.000000
10373.40 0.000000
10374.50 0.000000
10375.60 0.000000
10376.70 0.000000
10377.80 0.000000
10378.80 0.000000
10379.90 0.000000
10381.00 0.000000
10382.10 0.000000
10383.10 0.000000
10384.20 0.005531
10385.30 0.011659
10386.40 0.012660
10387.50 0.010920
10388.50 0.009227
10389.60 0.009370
10390.70 0.011468
10391.80 0.013399
10392.80 0.014305
10393.90 0.015211
10395.00 0.015283
10396.10 0.012970
10397.20 0.008965
10398.30 0.005007
10399.30 0.003433
10400.40 0.005627
10401.50 0.009203
10402.60 0.010467
10403.70 0.006843
10404.70 0.000000
10405.80 0.000000
10406.90 0.000000
